username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
cebudailynews;2018-01-23 12:21;1;0;"TRAFFIC ADVISORY: Traffic congestion due to the closed lane along the Banilad-Talamban (Bantal) road | @nestleCDN pic.twitter.com/xi5RXsEMIN";;@nestleCDN;;"955656750266380288";https://twitter.com/cebudailynews/status/955656750266380288
Aladinarranguez;2018-01-23 11:29;0;0;"Almost 2 hours banawa to talamban";;;;"955643714700943360";https://twitter.com/Aladinarranguez/status/955643714700943360
YeahPhilip;2018-01-23 10:29;0;0;"Traffic going to talamban";;;;"955628433748328448";https://twitter.com/YeahPhilip/status/955628433748328448
cebcarlkevin;2018-01-23 10:12;0;3;"Colon-Talamban 3 hours.";;;;"955624238324449280";https://twitter.com/cebcarlkevin/status/955624238324449280
undermystars_;2018-01-23 10:04;0;1;"LIFETIME ACHIEVEMENT UNLOCKED: Ride a motorcycle girl style. HAHAHAHAAHA traffic at Talamban.";;;;"955622153239502849";https://twitter.com/undermystars_/status/955622153239502849
kuvztagram;2018-01-23 09:34;0;0;"I SWEAR IT'S SO TRAFFIC AT TALAMBAN";;;;"955614572622180352";https://twitter.com/kuvztagram/status/955614572622180352
imperialbananas;2018-01-23 09:07;0;1;"fire near Talamban";;;;"955607858493538305";https://twitter.com/imperialbananas/status/955607858493538305
Jeianini;2018-01-23 08:27;0;0;"Very traffic at Talamban";;;;"955597794118520832";https://twitter.com/Jeianini/status/955597794118520832
FilipinosInAus;2018-01-24 04:40;0;0;"Country Mall Fire in Banilad area Near where Gaisano Mall went up in flames a few weeks ago, Cebu 2: http://youtu.be/wYn9Ag0s9Ko?a via";;;;"955903048534016000";https://twitter.com/FilipinosInAus/status/955903048534016000
makuroo;2018-01-24 02:09;0;0;"Float of Bureau of Fire Protection. Grand parade Sinulog 2018. #Cebu #PitSeñor #VivaPitSeñor … https://www.instagram.com/p/BeTSwwwHkSR/";;;#Cebu #PitSe #VivaPitSe;"955865089780969475";https://twitter.com/makuroo/status/955865089780969475
ZXPN247;2018-01-24 00:42;0;0;"#ZXPN News | 5th fire hits Cebu City http://www.sunstar.com.ph/cebu/local-new s/2018/01/23/5th-fire-hits-cebu-city-585369 …";;;#ZXPN;"955843111728631808";https://twitter.com/ZXPN247/status/955843111728631808
inquirerdotnet;2018-01-23 20:30;0;3;"12 houses razed, volunteer injured in Cebu City fire http://ebx.sh/2BjJAJn";;;;"955779700999286784";https://twitter.com/inquirerdotnet/status/955779700999286784
cebu_news_en;2018-01-23 20:21;0;0;"(UPDATED) -- Fire hit a residential area in Sitio Baca, Barangay Apas, Cebu City on Tuesday morning. / SunStar Cebu https://goo.gl/eRN7cp pic.twitter.com/pDV4c00ddA";;;;"955777450474172416";https://twitter.com/cebu_news_en/status/955777450474172416
pearlispearl;2018-01-23 13:57;0;0;"4 fires in Cebu City in a span of 1 month. This is not good!";;;;"955680862045200384";https://twitter.com/pearlispearl/status/955680862045200384
MissTecson;2018-01-23 13:20;1;2;"“Based on initial assessment, at least 1.5 hectares of grassland was burned and the cause of the fire was a portable burner with butane canister left by tourists, who are from Cebu .” ";;;;"955671567765192704";https://twitter.com/MissTecson/status/955671567765192704
irisCOLE;2018-01-23 12:34;0;0;"fire again. whats happening, Cebu ?";;;;"955659973521940480";https://twitter.com/irisCOLE/status/955659973521940480
Cebuinformer;2018-01-23 12:18;0;0;"Cebu City Fire Department photo from http://affordablecebu.com – Cebu Picture https://cebuinformer.com/188357/cebu-city-fire-department-photo-from-affordablecebu-com-cebu-picture/ … pic.twitter.com/bQBV7zvWVC";;;;"955655994465452032";https://twitter.com/Cebuinformer/status/955655994465452032
chanmiibb;2018-01-23 12:06;0;0;"Okay. Another fire here in cebu . Hoping there are no casualties. Tsk";;;;"955652939183407106";https://twitter.com/chanmiibb/status/955652939183407106
Xerendipity;2018-01-23 11:57;1;0;"Some houses in #SitioBaca in #Apas is on fire this morning. Here's an Aerial view. #sunog #Cebu https://fb.me/6FMtX4t9w";;;#SitioBaca #Apas #sunog #Cebu;"955650758741020673";https://twitter.com/Xerendipity/status/955650758741020673
ProjectLUPAD;2018-01-23 10:36;1;0;"Aerial view of the fire at Sitio Baca, Cebu City this morning. #Fire #AerialView #Drone #Cebu #SitioBaca #Philippines #CountryMall #Aerial https://www.projectlupad.com/fire-sitio-bac a-cebu-aerial-view/ …";;;#Fire #AerialView #Drone #Cebu #SitioBaca #Philippines #CountryMall #Aerial;"955630310401622016";https://twitter.com/ProjectLUPAD/status/955630310401622016
sunstarcebu;2018-01-23 10:17;2;4;"Fire broke out in Barangay Apas, Cebu City this morning. It reached fire alarm level 3 before being declared under control as of 9:53 a.m. http://snstr.co/3o1 pic.twitter.com/yKBvu8963U";;;;"955625564777230336";https://twitter.com/sunstarcebu/status/955625564777230336
CEBU_TheQueen;2018-01-23 09:51;0;0;"Queen City News Fire behind Gaisano Country Mall. Avoid Banilad road if you can.";;;;"955618961382690817";https://twitter.com/CEBU_TheQueen/status/955618961382690817
IyogNeil;2018-01-23 09:40;0;2;"I have observed that fire outbreaks here in cebu usually happen in areas where there are illegal settlers. Is this arson? Except for metro ayala though.";;;;"955616280526012416";https://twitter.com/IyogNeil/status/955616280526012416
Pautan_ina;2018-01-23 09:40;0;1;"CEBU HAS LIKE A DOZEN FIRETRUCKS BUT THEY DON'T HAVE GAS FOR IT TO RUN AND WATER TO PUT A FIRE DOWN";;;;"955616089488089088";https://twitter.com/Pautan_ina/status/955616089488089088
MCEBUALERTS;2018-01-23 09:34;0;1;"#FIREALERT #CEBUCITY #RESIDENTIALFIRE FIRE ALERT: SITIO BACA, APAS, CEBU CITY -> FIRE UNDER CONTROL 9:30AM";;;#FIREALERT #CEBUCITY #RESIDENTIALFIRE;"955614571087134721";https://twitter.com/MCEBUALERTS/status/955614571087134721
MCEBUALERTS;2018-01-23 09:29;0;0;"#FIREALERT #CEBUCITY #RESIDENTIALFIRE FIRE ALERT: SITIO BACA, APAS, CEBU CITY -> third ALARM";;;#FIREALERT #CEBUCITY #RESIDENTIALFIRE;"955613451510075392";https://twitter.com/MCEBUALERTS/status/955613451510075392
cebudailynews;2018-01-23 09:14;10;10;"WATCH: Fire in Sitio Baca, Barangay Apas, Cebu City | video via Maxine Magat pic.twitter.com/dDHOq5P0D2";;;;"955609687235297280";https://twitter.com/cebudailynews/status/955609687235297280
dawnarafols;2018-01-23 09:03;0;0;"Another Cebu fire";;;;"955606934819807232";https://twitter.com/dawnarafols/status/955606934819807232
the_awesome_lei;2018-01-23 09:01;0;1;"Fire in Sitio Baca, Apas #Cebu pic.twitter.com/jjHqfWxThd";;;#Cebu;"955606307913936897";https://twitter.com/the_awesome_lei/status/955606307913936897
TRULYRICHDAD888;2018-01-23 09:00;0;0;"FIRE ALARM Brgy. Apas, Cebu City";;;;"955606058357190657";https://twitter.com/TRULYRICHDAD888/status/955606058357190657
blogginoy;2018-01-23 08:58;1;0;"On going fire incident @Apas, Cebu City. @bayanmo pic.twitter.com/zU8FsGwL2o";;@Apas @bayanmo;;"955605697571340288";https://twitter.com/blogginoy/status/955605697571340288
mariancodilla;2018-01-23 08:56;0;0;"Smoke billowing from the #fire scene in brgy Apas, Cebu City. pic.twitter.com/K3AqeRksfL";;;#fire;"955604999064596480";https://twitter.com/mariancodilla/status/955604999064596480
AlexAlesna;2018-01-23 08:50;2;7;"@PhilstarNews @cebudailynews another fire in cebu pic.twitter.com/UOD5a53HSb";;@PhilstarNews @cebudailynews;;"955603673119301632";https://twitter.com/AlexAlesna/status/955603673119301632
cebudailynews;2018-01-23 08:44;11;11;"JUST IN: Fire alarm raised at Sitio Baca Barangay Apas, Cebu City. More details to follow | Benjie Talisic pic.twitter.com/WSn2UKsiZx";;;;"955602225056825344";https://twitter.com/cebudailynews/status/955602225056825344
Cebuinformer;2018-01-24 06:47;0;0;"12 houses burned down in Apas fire https://cebuinformer.com/188478/12-hous es-burned-down-in-apas-fire/ … pic.twitter.com/HQskbWygeP";;;;"955934937647124480";https://twitter.com/Cebuinformer/status/955934937647124480
cebu_news_en;2018-01-23 20:21;0;0;"(UPDATED) -- Fire hit a residential area in Sitio Baca, Barangay Apas , Cebu City on Tuesday morning. / SunStar Cebu https://goo.gl/eRN7cp pic.twitter.com/pDV4c00ddA";;;;"955777450474172416";https://twitter.com/cebu_news_en/status/955777450474172416
broncophils;2018-01-23 19:49;0;0;"Fire hits residential area in Barangay Apas | SunStar Philippines http://www.sunstar.com.ph/node/585216 via @sunstaronline";;@sunstaronline;;"955769335636664321";https://twitter.com/broncophils/status/955769335636664321
cebudailynews;2018-01-23 19:09;1;5;"Fire hits 12 houses in Apas http://ebx.sh/2DuS1DT";;;;"955759341558255616";https://twitter.com/cebudailynews/status/955759341558255616
ThePacificast;2018-01-23 16:23;0;0;"#PacificastNewsfeed | Fire hits residential area in Barangay Apas http://ift.tt/2DZv4te";;;#PacificastNewsfeed;"955717632279314432";https://twitter.com/ThePacificast/status/955717632279314432
sunstaronline;2018-01-23 16:07;1;1;"The aftermath of the fire in Sitio Baca, Barangay Apas . (Photo by Allan Cuizon) Read related story here | http://snstr.co/3o1 pic.twitter.com/ZeKeAxuw4K";;;;"955713688685522944";https://twitter.com/sunstaronline/status/955713688685522944
NofNewsFilipino;2018-01-23 15:43;0;0;"Fire hits residential area in Barangay Apas (UPDATED) - Fire hit a residential area in Sitio Baca, ... https://goo.gl/NT5Wyh";;;;"955707451684171776";https://twitter.com/NofNewsFilipino/status/955707451684171776
cebudailynews;2018-01-23 13:19;3;0;"Fire hits 12 houses in Apas http://ebx.sh/2rwi6ki";;;;"955671358398193664";https://twitter.com/cebudailynews/status/955671358398193664
Xerendipity;2018-01-23 11:57;1;0;"Some houses in #SitioBaca in #Apas is on fire this morning. Here's an Aerial view. #sunog #Cebu https://fb.me/6FMtX4t9w";;;#SitioBaca #Apas #sunog #Cebu;"955650758741020673";https://twitter.com/Xerendipity/status/955650758741020673
ZXPN247;2018-01-23 10:38;0;0;"#ZXPN News | Fire hits residential area in Barangay Apas http://www.sunstar.com.ph/cebu/local-new s/2018/01/23/fire-hits-residential-area-barangay-apas-585216 …";;;#ZXPN;"955630840037462016";https://twitter.com/ZXPN247/status/955630840037462016
sunstarcebu;2018-01-23 10:17;2;4;"Fire broke out in Barangay Apas , Cebu City this morning. It reached fire alarm level 3 before being declared under control as of 9:53 a.m. http://snstr.co/3o1 pic.twitter.com/yKBvu8963U";;;;"955625564777230336";https://twitter.com/sunstarcebu/status/955625564777230336
cebudailynews;2018-01-23 09:57;1;2;"NEWS UPDATE: BFP-7 declares fire in Sitio Baca, Barangay Apas now under control at 9:30 a.m. | Nestle Semilla pic.twitter.com/pM23n3TUx6";;;;"955620356370284544";https://twitter.com/cebudailynews/status/955620356370284544
MCEBUALERTS;2018-01-23 09:34;0;1;"#FIREALERT #CEBUCITY #RESIDENTIALFIRE FIRE ALERT: SITIO BACA, APAS , CEBU CITY -> FIRE UNDER CONTROL 9:30AM";;;#FIREALERT #CEBUCITY #RESIDENTIALFIRE;"955614571087134721";https://twitter.com/MCEBUALERTS/status/955614571087134721
MCEBUALERTS;2018-01-23 09:29;0;0;"#FIREALERT #CEBUCITY #RESIDENTIALFIRE FIRE ALERT: SITIO BACA, APAS , CEBU CITY -> third ALARM";;;#FIREALERT #CEBUCITY #RESIDENTIALFIRE;"955613451510075392";https://twitter.com/MCEBUALERTS/status/955613451510075392
cebudailynews;2018-01-23 09:14;10;10;"WATCH: Fire in Sitio Baca, Barangay Apas , Cebu City | video via Maxine Magat pic.twitter.com/dDHOq5P0D2";;;;"955609687235297280";https://twitter.com/cebudailynews/status/955609687235297280
