username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
sleepy_chiq;2018-01-07 07:59;0;2;"Literally almost all my Ayala High School class mates go to shitty rave festivals or country music festivals. I knew I didn’t belong LOL";;;;"949792582904639488";https://twitter.com/sleepy_chiq/status/949792582904639488
ayala_pablo;2018-01-07 07:58;0;0;"Reyes en rafaela en Aero Club Rafaela https://www. instagram.com/p/BdoJbxChvO4/";;;;"949792405427023874";https://twitter.com/ayala_pablo/status/949792405427023874
byrondee;2018-01-07 07:57;0;0;"Mismukuno in Ayala will be closed until further notice.";;;;"949792145610649600";https://twitter.com/byrondee/status/949792145610649600
ankasatue;2018-01-07 07:57;1;1;"Tuve ocasión de invitar a @1globalsociety a @WilliamChislet3 . Magnífico investigador con varios PDF en formato libre directamente de su página web. Recomendable por la cantidad de fuentes y datos fiables que maneja y su dominio de la realidad española.";;@1globalsociety @WilliamChislet3;;"949792098684948480";https://twitter.com/ankasatue/status/949792098684948480
barbbeier;2018-01-07 07:55;0;0;"Using meme-cat mutations to introduce G. G. Simpson's ideas on evolution in a draft for the first time. Starting to click! :) Thx Fitch, Ayala , and others. https://www. nap.edu/catalog/4910/t empo-and-mode-in-evolution-genetics-and-paleontology-50-years … Also, read "Tempo and Mode..." It's fantastic!";;;;"949791629233283072";https://twitter.com/barbbeier/status/949791629233283072
CuadernosGE;2018-01-07 07:55;7;7;"Felicidades jóvenes!! La participación activa en la política debe apoyarse y preservarse, la juventud es el presente y ustedes son clara prueba de ello!!";;;;"949791573302226944";https://twitter.com/CuadernosGE/status/949791573302226944
tricia_ayala;2018-01-07 07:55;0;2;"I can’t wait until my man and I have it all figured out";;;;"949791543023603713";https://twitter.com/tricia_ayala/status/949791543023603713
FugitiveWatch;2018-01-07 07:55;1;0;"Christian Alexander Ayala Identified in Case of Man Who Allegedly Struck Police Officer… http://www. fugitive.com/2018/01/06/chr istian-alexander-ayala-identified-in-case-of-man-who-allegedly-struck-police-officer-with-car/ … pic.twitter.com/UMkl72KY1N";;;;"949791471489703941";https://twitter.com/FugitiveWatch/status/949791471489703941
OfficialSLEX;2018-01-07 07:55;0;1;"MaTES-SLEx Traffic Update as of 7:54 AM: Alabang Viaduct NB/SB: LIGHT; Ayala TP NB/SB: LIGHT; Calamba TP NB/SB: LIGHT.";;;;"949791447489822725";https://twitter.com/OfficialSLEX/status/949791447489822725
francessegabuya;2018-01-07 07:50;0;0;"naabot na ang baho sa smoke from metro ayala dnhi sa amoa. s a d :'(";;;;"949790321612697600";https://twitter.com/francessegabuya/status/949790321612697600
Lo_ayala;2018-01-07 07:50;0;1;"Bahahaha I'm pretty sure this will be me tonight waiting forever for my ride. Or it could likely be the other way around too.";;;;"949790206416293894";https://twitter.com/Lo_ayala/status/949790206416293894
ATP_panama;2018-01-07 07:49;3;4;"El Escorpión de paritilla, Osvaldo Ayala , encendió isla Taboga. ATP de fiesta hoy por la inauguración del nuevo Malecón #isladelasflores #VenaTaboga pic.twitter.com/hEhQYILFjZ";;;#isladelasflores #VenaTaboga;"949790158362152961";https://twitter.com/ATP_panama/status/949790158362152961
Diisyta_G;2018-01-07 07:49;0;1;"la amo.";;;;"949790036488261634";https://twitter.com/Diisyta_G/status/949790036488261634
Lo_ayala;2018-01-07 07:49;0;1;"Who needs awards when you have love right? Lol your schmoopys love you.";;;;"949790016145969152";https://twitter.com/Lo_ayala/status/949790016145969152
boroform;2018-01-07 07:49;0;6;"Seven have played every minute.. 270 Randolph, Gibson, Ayala , Friend, Howson, Leadbitter, Downing.. 211 Shotton, 204 Traore, 199 Gestede, 129 Assombalonga, 122 Braithwaite, 61, Bamford, 59 Christie, 50 Guedioura, 25 Clayton, 11 Fletcher, 9 Johnson. https:// twitter.com/davemcnally87/ status/949785264813232128 …";;;;"949789995795124224";https://twitter.com/boroform/status/949789995795124224
FiLoS_GtO;2018-01-07 07:49;0;1;"@TransitoPolicia @movilidad_leon @retioLEON esta camioneta tiene más de 3 meses abandonada y ahí se juntan muchos vagos en la noche . Calle san Eleazar esq. Rafael corrales Ayala col. Santa Rosa de lima. Ojalá la puedan retirar de aquí. pic.twitter.com/7UlPsZcIzC";;@TransitoPolicia @movilidad_leon @retioLEON;;"949789963733872640";https://twitter.com/FiLoS_GtO/status/949789963733872640
SrJapa_Op29;2018-01-07 07:48;0;0;"Adicionei um vídeo a uma playlist @YouTube http:// youtu.be/KbxlSQVWbDw?aX XXTENTACION … - Ayala (Outro) (Audio)";;@YouTube;;"949789888420962304";https://twitter.com/SrJapa_Op29/status/949789888420962304
HERNANMTV;2018-01-07 07:48;0;1;"Exactly me i even made a drink lol.";;;;"949789824583643136";https://twitter.com/HERNANMTV/status/949789824583643136
JoseDanielLlore;2018-01-07 07:48;1;0;"Es así! Carboni, Ayala , Albelda, Kily González, Marchena, etc";;;;"949789768547749888";https://twitter.com/JoseDanielLlore/status/949789768547749888
rikicm;2018-01-07 07:48;0;0;"Jajajajajaja Ayala porra nombre nooooo!!!!";;;;"949789710498623493";https://twitter.com/rikicm/status/949789710498623493
aldiiayalaa;2018-01-07 07:47;0;0;"Aldana ayala 016 chipote";;;;"949789536825040897";https://twitter.com/aldiiayalaa/status/949789536825040897
Lo_ayala;2018-01-07 07:46;0;0;"This hilariously cute";;;;"949789329391570944";https://twitter.com/Lo_ayala/status/949789329391570944
lkmangahas;2018-01-07 07:45;0;0;"Saturday treat.. ayala feliz.. https://www. instagram.com/p/BdoH9ggFe_oi 2J3kJZrEguYHTI9GbuB4uj7dd80/ …";;;;"949789162445647879";https://twitter.com/lkmangahas/status/949789162445647879
paoli_ayala;2018-01-07 07:45;0;2;"Cuando duermo nomas no me jodan pq soy mas argel que una mamá cuando se le pierde su taper.";;;;"949789066379317249";https://twitter.com/paoli_ayala/status/949789066379317249
