username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
toperdiaz;2018-01-07 07:42;0;0;"Pray for job opportunities.";;;;"949788349740605441";https://twitter.com/toperdiaz/status/949788349740605441
trendandviral;2018-01-07 05:26;0;0;"Ayala Mall on Fire, Cebu City 2018 http:// youtu.be/92MSax9d4GA?a";;;;"949754102170505216";https://twitter.com/trendandviral/status/949754102170505216
trendandviral;2018-01-07 05:26;0;0;"I added a video to a @YouTube playlist http:// youtu.be/92MSax9d4GA?a Ayala Mall on Fire, Cebu City 2018";;@YouTube;;"949754086089478145";https://twitter.com/trendandviral/status/949754086089478145
arniezoned;2018-01-07 03:20;1;2;"Kudos to BFP that they able to control the fire in Metro Ayala Cebu . I think it took them more than 24 hours to manipulate the fire. But the smoke caused by the fire in intolerable. Our company’s building is just across Metro Ayala . #safe #metroayalacebu pic.twitter.com/LX7EmyulbU";;;#safe #metroayalacebu;"949722464010907648";https://twitter.com/arniezoned/status/949722464010907648
ylilSala;2018-01-07 03:01;0;0;"this happened at 10pm in Metro Ayala Center Cebu ! why do i still hear sirens from the firetrucks?";;;;"949717527126466562";https://twitter.com/ylilSala/status/949717527126466562
ohhthesea;2018-01-07 02:55;0;5;"seriously, all thoughts and hopes for all the people who are working tirelessly to put down the fire";;;;"949716104577925120";https://twitter.com/ohhthesea/status/949716104577925120
cebudailynews;2018-01-07 02:31;2;4;"The fire, for still unknown reason, broke out at 9:44 p.m. on Friday inside a toy stock room on the third floor of the Metro Ayala department store, an eight-level building that formed part of the sprawling Ayala Center Cebu mall complex located at the Cebu Business Park.";;;;"949709924811993088";https://twitter.com/cebudailynews/status/949709924811993088
cebudailynews;2018-01-07 02:29;1;2;"Tadeo said they remained under Task Force Bravo, which means that the presence of all firefighting units from as far as Danao City in the north and Naga City in the south are still needed to assist the Cebu City Fire Department in battling the Metro Ayala fire.";;;;"949709470841561088";https://twitter.com/cebudailynews/status/949709470841561088
EileenMaeEPere1;2018-01-07 01:27;0;1;"We might as well expect a new Metro Ayala because the way I see it, the building is no longer safe due to the fire. My very first memory upon arriving in Cebu 19 yrs ago was to buy my toiletries there. My boarding house was just a block away then.";;;;"949693982606467072";https://twitter.com/EileenMaeEPere1/status/949693982606467072
MariahPleiades;2018-01-07 00:56;0;2;"I think the only place that has dakasi in cebu is ayala and no more for now";;;;"949686152931389440";https://twitter.com/MariahPleiades/status/949686152931389440
MDEmon313;2018-01-07 00:43;0;0;"Live Updates: Fire hits Metro Ayala mall in Cebu City | Fire hits Metro Gaisano Ayala Cebu : http:// youtu.be/taaNJTxtDWA?a via @YouTube";;@YouTube;;"949682840110796800";https://twitter.com/MDEmon313/status/949682840110796800
sosmenalove;2018-01-07 00:40;0;1;"Ayala Center Cebu 1994-2018";;;;"949682025337778178";https://twitter.com/sosmenalove/status/949682025337778178
tepssyy;2018-01-07 00:32;10;12;"smoke as of 11pm at Metro Ayala Cebu . #metroayalafire @manilabulletin @cebudailynews @sunstarcebu pic.twitter.com/pCA1Q4NTh2";;@manilabulletin @cebudailynews @sunstarcebu;#metroayalafire;"949680014789718017";https://twitter.com/tepssyy/status/949680014789718017
cebu_news_en;2018-01-07 00:21;1;0;"IT MIGHT take two days for firefighters to control the blaze that hit Metro Ayala Center Cebu Friday... / SunStar Cebu https:// goo.gl/P9TzSD pic.twitter.com/f6I2rlnA3t";;;;"949677376274825216";https://twitter.com/cebu_news_en/status/949677376274825216
cebu_news_en;2018-01-07 00:21;0;0;"FIRE threatens to destroy the landmark Metro Ayala department store and supermarket, one of the bigg... / SunStar Cebu https:// goo.gl/uHMyDF pic.twitter.com/JECWkEc1Aw";;;;"949677254413574145";https://twitter.com/cebu_news_en/status/949677254413574145
manilabulletin;2018-01-07 00:14;4;4;"How Metro Ayala in Cebu City looks like as of 11:30 p.m. Saturday. l @kierbellezaMB pic.twitter.com/uFNrvKMr5I";;@kierbellezaMB;;"949675647416152064";https://twitter.com/manilabulletin/status/949675647416152064
kfacun13;2018-01-07 00:12;0;2;"Praying that the fire at Metro Ayala Cebu ends!";;;;"949675087736684544";https://twitter.com/kfacun13/status/949675087736684544
hellonemia;2018-01-07 00:08;0;8;"After Davao’s NCCC Mall incident, Metro Cebu Ayala. It was really an accident? I feel bad, my favorite mall";;;;"949674107158720512";https://twitter.com/hellonemia/status/949674107158720512
rnicemarquez;2018-01-06 23:57;7;25;"Pray for Metro Ayala Cebu not only for the establishment, the business, the building but also for the workers & their families.";;;;"949671242780491777";https://twitter.com/rnicemarquez/status/949671242780491777
gibzrodado;2018-01-06 23:50;6;43;"My prayer goes to all the volunteers, firefighters and to anyone who has been any of help in aiding Metro Ayala Cebu fire incident. Let us pray for a well safe rain that would cause no harm to us but somehow ease and lessen the inconvenience and burden brought by the fire.";;;;"949669502920228864";https://twitter.com/gibzrodado/status/949669502920228864
