username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
trendandviral;2018-01-07 05:26;0;0;"Ayala Mall on Fire , Cebu City 2018 http:// youtu.be/92MSax9d4GA?a";;;;"949754102170505216";https://twitter.com/trendandviral/status/949754102170505216
MARshpotatoo;2018-01-07 03:53;0;2;"Metro ayala up to their fire tricks again";;;;"949730706355208192";https://twitter.com/MARshpotatoo/status/949730706355208192
cebudailynews;2018-01-07 03:38;1;5;"Possible violations eyed in Metro Ayala fire http:// ebx.sh/2qxlvP8";;;;"949726948447670272";https://twitter.com/cebudailynews/status/949726948447670272
ZXPN247;2018-01-07 03:28;0;0;"#ZXPN News | Firefighters working 'double time' to control Metro Ayala fire http://www. sunstar.com.ph/cebu/local-new s/2018/01/07/firefighters-working-double-time-control-metro-ayala-fire-582741 …";;;#ZXPN;"949724350940418048";https://twitter.com/ZXPN247/status/949724350940418048
arniezoned;2018-01-07 03:20;1;2;"Kudos to BFP that they able to control the fire in Metro Ayala Cebu. I think it took them more than 24hours to manipulate the fire . But the smoke caused by the fire in intolerable. Our company’s building is just across Metro Ayala . #safe #metroayalacebu pic.twitter.com/LX7EmyulbU";;;#safe #metroayalacebu;"949722464010907648";https://twitter.com/arniezoned/status/949722464010907648
cebudailynews;2018-01-07 03:01;6;8;"Fire continues to engulf Metro Ayala http:// ebx.sh/2qC69t0";;;;"949717567144452097";https://twitter.com/cebudailynews/status/949717567144452097
ohhthesea;2018-01-07 02:55;0;5;"Mahurot nalang ang tubig sa Cebu wala pa napalong ang kalayo sa Metro Ayala . But srsly, all thoughts and hopes for all the people who are working tirelessly to put down the fire";;;;"949716104577925120";https://twitter.com/ohhthesea/status/949716104577925120
cebudailynews;2018-01-07 02:31;2;4;"The fire , for still unknown reason, broke out at 9:44 p.m. on Friday inside a toy stock room on the third floor of the Metro Ayala department store, an eight-level building that formed part of the sprawling Ayala Center Cebu mall complex located at the Cebu Business Park.";;;;"949709924811993088";https://twitter.com/cebudailynews/status/949709924811993088
cebudailynews;2018-01-07 02:29;1;2;"Tadeo said they remained under Task Force Bravo, which means that the presence of all firefighting units from as far as Danao City in the north and Naga City in the south are still needed to assist the Cebu City Fire Department in battling the Metro Ayala fire .";;;;"949709470841561088";https://twitter.com/cebudailynews/status/949709470841561088
cebudailynews;2018-01-07 02:26;33;62;"UPDATE: At 2:05 a.m. today, firefighters have doused the ball of fire that crept out of the burning Metro Ayala department store past 9 p.m. on Saturday but FSSupt. Samuel Tadeo said they could not yet declare a fire out since the inside of the building continues to burn pic.twitter.com/mavs4xoSy5";;;;"949708721474514944";https://twitter.com/cebudailynews/status/949708721474514944
mark62b;2018-01-07 02:08;0;0;"What’s your take on the Metro Ayala fire that is still going on as we speak? Did we have the lack of equipment... https:// fb.me/JcJWyDP3";;;;"949704292516155393";https://twitter.com/mark62b/status/949704292516155393
ZXPN247;2018-01-07 02:08;0;0;"#ZXPN News | Metro Ayala mall fire flares out due to strong winds http://www. sunstar.com.ph/cebu/local-new s/2018/01/07/metro-ayala-mall-fire-flares-out-due-strong-winds-582734 …";;;#ZXPN;"949704250589941760";https://twitter.com/ZXPN247/status/949704250589941760
NofNewsFilipino;2018-01-07 01:45;0;0;"Metro Ayala mall fire flares out due to strong winds STRONG winds have fanned the fire inside Metro Ayala ... https:// goo.gl/CVczr9";;;;"949698380673904640";https://twitter.com/NofNewsFilipino/status/949698380673904640
sunstaronline;2018-01-07 01:35;4;4;"Metro Ayala mall fire flares out due to strong winds on Saturday night. http:// snstr.co/3ht | Via @JOBajenting | Photo courtesy of Henry Yu pic.twitter.com/XYnPtjX87C";;@JOBajenting;;"949695883997675520";https://twitter.com/sunstaronline/status/949695883997675520
EileenMaeEPere1;2018-01-07 01:27;0;1;"We might as well expect a new Metro Ayala coz the way I see it, the building is no longer safe due to the fire . My very first memory upon arriving in Cebu 19 yrs ago was to buy my toiletries there. My boarding house was just a block away then.";;;;"949693982606467072";https://twitter.com/EileenMaeEPere1/status/949693982606467072
maaaaarrrrie;2018-01-07 01:24;0;6;"So this guy had the audacity to make a punch line out of the fire that happened in Ayala .... pic.twitter.com/cM5KUbV4fl";;;;"949693176243142657";https://twitter.com/maaaaarrrrie/status/949693176243142657
liljusmine;2018-01-07 01:08;0;1;"am i the only one that doesn’t understand why Ayala catching fire hurts people so much?? Is it bc I didn’t grow up going there?? Or ???";;;;"949689227565875201";https://twitter.com/liljusmine/status/949689227565875201
cebudailynews;2018-01-07 00:57;9;23;"LOOK: Fire continues to engulf Metro Ayala for more than 24 hours | Benjie Talisic pic.twitter.com/X0pgyVNVY1";;;;"949686367017037824";https://twitter.com/cebudailynews/status/949686367017037824
thesevenmax;2018-01-07 00:57;0;0;"I remembered being in Ayala an hour before the fire began. I never expected that to happen. For sure they'll rebuild.";;;;"949686365322584064";https://twitter.com/thesevenmax/status/949686365322584064
MDEmon313;2018-01-07 00:43;0;0;"Live Updates: Fire hits Metro Ayala mall in Cebu City | Fire hits Metro Gaisano Ayala Cebu: http:// youtu.be/taaNJTxtDWA?a via @YouTube";;@YouTube;;"949682840110796800";https://twitter.com/MDEmon313/status/949682840110796800
Rodis;2018-01-07 00:40;0;0;"Yup, it's why it would take years before we would see another Metro in Ayala . If only those firefighters put an extra effort in that small window of time to stop that fire , it will save us years of waiting.";;;;"949681980244877312";https://twitter.com/Rodis/status/949681980244877312
kendragon016;2018-01-07 00:33;0;2;"I got so triggered when that reporter dude said the fire in ayala started because the owner was chinese";;;;"949680388321849345";https://twitter.com/kendragon016/status/949680388321849345
cielomar;2018-01-07 00:30;0;2;"Prayer Brigade for Metro Ayala Fire pic.twitter.com/lzFuTYoTSf";;;;"949679537419202560";https://twitter.com/cielomar/status/949679537419202560
cielomar;2018-01-07 00:28;0;0;"Prayer Brigade for Metro Ayala Fire Almighty and Eternal God we pray fervently to you to send… https://www. instagram.com/p/BdnV5RfHKEJ/";;;;"949679071125962752";https://twitter.com/cielomar/status/949679071125962752
raenafrou;2018-01-07 00:27;0;0;"The Ayala fire is sad.";;;;"949678945712062464";https://twitter.com/raenafrou/status/949678945712062464
cebudailynews;2018-01-07 00:27;13;21;"FIRE UPDATE: As of 12:25 a.m., Metro Ayala fire still under task force bravo | Benjie Talisic pic.twitter.com/HULrHivroE";;;;"949678845971415040";https://twitter.com/cebudailynews/status/949678845971415040
syuubbb;2018-01-07 00:23;0;0;"but the people taking advantage of the fire in ayala";;;;"949677777548013569";https://twitter.com/syuubbb/status/949677777548013569
cebu_news_en;2018-01-07 00:21;0;0;"FIRE threatens to destroy the landmark Metro Ayala department store and supermarket, one of the bigg... / SunStar Cebu https:// goo.gl/uHMyDF pic.twitter.com/JECWkEc1Aw";;;;"949677254413574145";https://twitter.com/cebu_news_en/status/949677254413574145
keeful;2018-01-07 00:18;0;11;"hey firefighters out there still at ayala good job we're rooting for you!! fight that final boss-level fire";;;;"949676640723849216";https://twitter.com/keeful/status/949676640723849216
JanisEarliz;2018-01-07 00:13;0;0;"I was heading home and happen to pass by Metro Ayala around 7pm today same thing Firetrucks everywhere.people gathered outside and watched the fire https:// twitter.com/sunstarcebu/st atus/949630247229579271 …";;;;"949675334261096448";https://twitter.com/JanisEarliz/status/949675334261096448
erinabera;2018-01-07 00:03;0;0;"i know its not really worth it to block the guys name since just a simple search of Ayala Fire would do it, but this aggravates me so much pic.twitter.com/wpJC5OkXVZ";;;;"949672665580691458";https://twitter.com/erinabera/status/949672665580691458
gibzrodado;2018-01-06 23:50;6;43;"My prayer goes to all the volunteers, firefighters and to anyone who has been any of help in aiding Metro Ayala Cebu fire incident. Let us pray for a well safe rain that would cause no harm to us but somehow ease and lessen the inconvenience and burden brought by the fire .";;;;"949669502920228864";https://twitter.com/gibzrodado/status/949669502920228864
MyCodeDoodles;2018-01-06 23:46;0;1;"Since civilians safe, obj. is to contain fire within Metro, not to further damage to Ayala . As for the workers, lay off is an option, but so are other options available to Metro Mgt. Ex. One of ours is affected, we are assigning people somewhere else, since mall is close.";;;;"949668452712660997";https://twitter.com/MyCodeDoodles/status/949668452712660997
theambuulance;2018-01-06 23:38;0;0;"Metro Ayala is still burning, I remember those good old days with the mall. In the women undergarments section where the fire started, was also the place I watched the debut of @WannaOne_twt .";;@WannaOne_twt;;"949666447134834689";https://twitter.com/theambuulance/status/949666447134834689
gennapi_qt;2018-01-06 23:28;0;0;"In addition, hindi pa fully off ang fire at kahit contained na, naay possibility na mu swim ang fire sa water padjng sa other parts of ayala UTOK BIS";;;;"949664019241054214";https://twitter.com/gennapi_qt/status/949664019241054214
PINOYNetworkPH;2018-01-06 23:26;0;0;"Two Men Caught Stealing Shoes During Fire at Metro Ayala Mall in Cebu http:// adobotoday.com/?p=12806";;;;"949663356557737984";https://twitter.com/PINOYNetworkPH/status/949663356557737984
PINOYNetworkPH;2018-01-06 23:25;0;0;"Two Men Caught Stealing Shoes During Fire at Metro Ayala Mall in Cebu https:// goo.gl/fb/3ymr9Y";;;;"949663294549192704";https://twitter.com/PINOYNetworkPH/status/949663294549192704
glennsoco1;2018-01-06 23:25;2;8;"I salute the firefighters and volunteers of the Metro Ayala fire . They have been at it for more than 24 hours already. I hope they are safe. #MetroAyalaFire";;;#MetroAyalaFire;"949663210096832512";https://twitter.com/glennsoco1/status/949663210096832512
oohwsam;2018-01-06 23:22;0;1;"Metro Ayala Cebu still on fire around 22:00. pic.twitter.com/nNzN76qmHr";;;;"949662427607519233";https://twitter.com/oohwsam/status/949662427607519233
cebudailynews;2018-01-06 23:18;8;17;"LOOK: As of 11 o'clock, firefighters continue to put out the fire at Metro Ayala / via @BenjieTalisic pic.twitter.com/UQOfLQdCBR";;@BenjieTalisic;;"949661393640308737";https://twitter.com/cebudailynews/status/949661393640308737
iamjamramirez;2018-01-06 23:11;0;1;"Metro Ayala fire started at the department store, says management http:// newsinfo.inquirer.net/957883/metro-a yala-fire-started-at-the-department-store-says-management … via @inquirerdotnet";;@inquirerdotnet;;"949659739427778560";https://twitter.com/iamjamramirez/status/949659739427778560
SpelledAsJustin;2018-01-06 23:11;0;12;"The fire in Ayala is putting many people and their jobs at risk. Can we please stop being complacent and think about how difficult it will be for these people to provide their own families with every day necessities without a stable job???";;;;"949659734872793088";https://twitter.com/SpelledAsJustin/status/949659734872793088
MyCodeDoodles;2018-01-06 23:01;0;1;"I case you are confusing it, by inventories I meant “goods for sale” inside the department store. Knowing how no one was already inside the store, the only goal is to not spread the fire other arts of Ayala , and stop it.";;;;"949657129593454593";https://twitter.com/MyCodeDoodles/status/949657129593454593
theonegwyn;2018-01-06 23:01;0;9;"Lord God, please please please do guide and help the firemen in subsiding the fire in Ayala . They've been risking their life since yesterday, no break, no rest. They really need you";;;;"949657116049993729";https://twitter.com/theonegwyn/status/949657116049993729
kaaithlene;2018-01-06 22:57;60;346;"Ayala ’s fire is getting bigger pic.twitter.com/UvZZJqbcn7";;;;"949656237607600128";https://twitter.com/kaaithlene/status/949656237607600128
exgangleader;2018-01-06 22:55;0;1;"Is the fire already out in metro ayala cebu? :(";;;;"949655713617362944";https://twitter.com/exgangleader/status/949655713617362944
vernakulo;2018-01-06 22:50;0;1;"I don't know but why it will take almost 2 days of fire at Ayala ?";;;;"949654423621349376";https://twitter.com/vernakulo/status/949654423621349376
Rodis;2018-01-06 22:47;0;0;"There was a statement at noon that the fire was controlled (or contained). Even as far as explaining that it won't go to Ayala anymore. That was assuring. But it was like being told you have cancer but not to worry since you still have 3 months to live. No choice but to take it.";;;;"949653632781189123";https://twitter.com/Rodis/status/949653632781189123
