username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
nerowattz;2018-01-07 07:31;0;0;"Cebu store fire to burn for 3 more days http:// inq.ph/inqmobileapp InquirerMobile http:// ift.tt/2COY8X0";;;;"949785441275957249";https://twitter.com/nerowattz/status/949785441275957249
cebudailynews;2018-01-07 07:30;3;11;"BANNER STORY: FIRE IN THE METRO - Cebu Daily News https:// shar.es/1NpgMx pic.twitter.com/oumF8xdS8m";;;;"949785149691932673";https://twitter.com/cebudailynews/status/949785149691932673
GrahamPearcy;2018-01-07 07:21;0;0;"Cebu mall fire may take 2 days to put out, officials say http:// news.abs-cbn.com/news/01/06/18/ cebu-mall-fire-may-take-2-days-to-put-out-officials-say … via @ABSCBNNews";;@ABSCBNNews;;"949783032377913344";https://twitter.com/GrahamPearcy/status/949783032377913344
cebudailynews;2018-01-07 07:00;1;4;"TODAY'S FRONT PAGE: FIRE IN THE METRO - Cebu Daily News https:// shar.es/1NppWh pic.twitter.com/4z9YS3zC2l";;;;"949777600406159360";https://twitter.com/cebudailynews/status/949777600406159360
WeAreTheDi;2018-01-07 05:55;0;0;"So... where do the people who live in the condos go, then? I hope they're okay. I can't believe the fire is still going. Cebu fires don't usually last this long.";;;;"949761340897243137";https://twitter.com/WeAreTheDi/status/949761340897243137
manilainformer;2018-01-07 05:37;0;0;"Fire hits Cebu mall https:// manilainformer.com/283143/fire-hi ts-cebu-mall/ …";;;;"949756887876153345";https://twitter.com/manilainformer/status/949756887876153345
trendandviral;2018-01-07 05:26;0;0;"Ayala Mall on Fire , Cebu City 2018 http:// youtu.be/92MSax9d4GA?a";;;;"949754102170505216";https://twitter.com/trendandviral/status/949754102170505216
trendandviral;2018-01-07 05:26;0;0;"I added a video to a @YouTube playlist http:// youtu.be/92MSax9d4GA?a Ayala Mall on Fire , Cebu City 2018";;@YouTube;;"949754086089478145";https://twitter.com/trendandviral/status/949754086089478145
inquirerdotnet;2018-01-07 05:26;0;0;"Probers checking for violations of safety rules in Cebu mall fire http:// ebx.sh/2m651ZS";;;;"949754024345075712";https://twitter.com/inquirerdotnet/status/949754024345075712
Shoes_4;2018-01-07 04:41;0;0;"Two backhoe operators caught stealing shoes during Cebu mall fire - http:// Inquirer.net : http:// Inquirer.net Two backhoe operators caught stealing shoes during Cebu mall fire http:// Inquirer.net CEBU CITY – Two backhoe operators were arrested… http:// news.google.com/news/url?sa=t& fd=R&ct2=us&usg=AFQjCNFAgZAxZIYFLhCLz32pbIu4PFVvVA&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52779751898547&ei=QTRRWoCCKZaXqwLkvIbQBg&url=https%3A%2F%2Fnewsinfo.inquirer.net%2F958012%2Ftwo-backhoe-operators-caught-stealing-shoes-during-cebu-mall-fire&utm_source=dlvr.it&utm_medium=twitter …";;;;"949742632556572672";https://twitter.com/Shoes_4/status/949742632556572672
