username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
carmxtherese;2018-01-07 07:40;11;28;"at one point you went inside Metro Ayala and you didn't realize it would be your last time there";;;;"949787731772678144";https://twitter.com/carmxtherese/status/949787731772678144
ohyeahCzarina;2018-01-07 07:17;0;0;"Yes. I guess if mu declare na ang fire department na fire out, regular operations na dayon ang Ayala . Independent man ang metro sa ilang decisions mao bitaw pwede sila mag midnight sale na sila ra without Ayala .";;;;"949781942026649600";https://twitter.com/ohyeahCzarina/status/949781942026649600
TazDB;2018-01-07 06:57;0;0;"That fire in Metro Ayala though...";;;;"949776921423790080";https://twitter.com/TazDB/status/949776921423790080
istanmkl;2018-01-07 06:02;0;1;"Metro Ayala is one of the few memorable places in Ayala . And probably the oldest part of the mall that hasn't been changed at all.";;;;"949763048910217216";https://twitter.com/istanmkl/status/949763048910217216
monsplp;2018-01-07 05:38;0;0;"Inferno continues to ravage Metro Ayala | SunStar Philippines http://www. sunstar.com.ph/node/582714 via @sunstaronline";;@sunstaronline;;"949757168823123968";https://twitter.com/monsplp/status/949757168823123968
chincnm;2018-01-07 05:25;0;5;"It saddens me so much seeing what Metro Ayala has already become so much memories associated with that mall";;;;"949753895336648709";https://twitter.com/chincnm/status/949753895336648709
sightseeyan;2018-01-07 04:53;0;2;"Passed by Metro Gaisano Ayala earlier and it’s still burning more than 24 hrs now. So much memories of this place since college days. Just sad";;;;"949745858760683520";https://twitter.com/sightseeyan/status/949745858760683520
PHTopNews;2018-01-07 04:44;0;0;"Inferno continues to ravage Metro Ayala | SunStar - http:// Sun.Star https:// goo.gl/fb/eZ8j8f";;;;"949743440249712642";https://twitter.com/PHTopNews/status/949743440249712642
phildaily;2018-01-07 04:24;0;0;"Inferno continues to ravage Metro Ayala | SunStar - http:// Sun.Star https:// goo.gl/fb/fvfLWR";;;;"949738376588120066";https://twitter.com/phildaily/status/949738376588120066
MARshpotatoo;2018-01-07 03:53;0;2;"Metro ayala up to their fire tricks again";;;;"949730706355208192";https://twitter.com/MARshpotatoo/status/949730706355208192
cebudailynews;2018-01-07 03:38;1;5;"Possible violations eyed in Metro Ayala fire http:// ebx.sh/2qxlvP8";;;;"949726948447670272";https://twitter.com/cebudailynews/status/949726948447670272
PHTopNews;2018-01-07 03:30;0;0;"Inferno continues to ravage Metro Ayala | SunStar - http:// Sun.Star https:// goo.gl/fb/djzZ9F";;;;"949724944237322240";https://twitter.com/PHTopNews/status/949724944237322240
graciemil;2018-01-07 03:30;0;0;"3:30am.. praying for the safety of our Metro Ayala Firefighters. — feeling concerned";;;;"949724804160114688";https://twitter.com/graciemil/status/949724804160114688
ZXPN247;2018-01-07 03:28;0;0;"#ZXPN News | Firefighters working 'double time' to control Metro Ayala fire http://www. sunstar.com.ph/cebu/local-new s/2018/01/07/firefighters-working-double-time-control-metro-ayala-fire-582741 …";;;#ZXPN;"949724350940418048";https://twitter.com/ZXPN247/status/949724350940418048
graciemil;2018-01-07 03:28;0;0;" 3:30am.. praying for the safety of our Metro Ayala Firefighters. — feeling anxious";;;;"949724294715764746";https://twitter.com/graciemil/status/949724294715764746
arniezoned;2018-01-07 03:20;1;2;"Kudos to BFP that they able to control the fire in Metro Ayala Cebu. I think it took them more than 24hours to manipulate the fire. But the smoke caused by the fire in intolerable. Our company’s building is just across Metro Ayala . #safe #metroayalacebu pic.twitter.com/LX7EmyulbU";;;#safe #metroayalacebu;"949722464010907648";https://twitter.com/arniezoned/status/949722464010907648
phildaily;2018-01-07 03:08;0;0;"Inferno continues to ravage Metro Ayala | SunStar - http:// Sun.Star https:// goo.gl/fb/Bd2QYF";;;;"949719242286526466";https://twitter.com/phildaily/status/949719242286526466
phildaily;2018-01-07 03:08;0;0;"Inferno continues to ravage Metro Ayala | SunStar - http:// Sun.Star https:// goo.gl/fb/34cjcm";;;;"949719215187156992";https://twitter.com/phildaily/status/949719215187156992
cebudailynews;2018-01-07 03:01;6;8;"Fire continues to engulf Metro Ayala http:// ebx.sh/2qC69t0";;;;"949717567144452097";https://twitter.com/cebudailynews/status/949717567144452097
cebudailynews;2018-01-07 02:31;2;4;"The fire, for still unknown reason, broke out at 9:44 p.m. on Friday inside a toy stock room on the third floor of the Metro Ayala department store, an eight-level building that formed part of the sprawling Ayala Center Cebu mall complex located at the Cebu Business Park.";;;;"949709924811993088";https://twitter.com/cebudailynews/status/949709924811993088
cebudailynews;2018-01-07 02:29;1;2;"Tadeo said they remained under Task Force Bravo, which means that the presence of all firefighting units from as far as Danao City in the north and Naga City in the south are still needed to assist the Cebu City Fire Department in battling the Metro Ayala fire.";;;;"949709470841561088";https://twitter.com/cebudailynews/status/949709470841561088
cebudailynews;2018-01-07 02:26;33;62;"UPDATE: At 2:05 a.m. today, firefighters have doused the ball of fire that crept out of the burning Metro Ayala department store past 9 p.m. on Saturday but FSSupt. Samuel Tadeo said they could not yet declare a fire out since the inside of the building continues to burn pic.twitter.com/mavs4xoSy5";;;;"949708721474514944";https://twitter.com/cebudailynews/status/949708721474514944
mark62b;2018-01-07 02:08;0;0;"What’s your take on the Metro Ayala fire that is still going on as we speak? Did we have the lack of equipment... https:// fb.me/JcJWyDP3";;;;"949704292516155393";https://twitter.com/mark62b/status/949704292516155393
ZXPN247;2018-01-07 02:08;0;0;"#ZXPN News | Metro Ayala mall fire flares out due to strong winds http://www. sunstar.com.ph/cebu/local-new s/2018/01/07/metro-ayala-mall-fire-flares-out-due-strong-winds-582734 …";;;#ZXPN;"949704250589941760";https://twitter.com/ZXPN247/status/949704250589941760
NofNewsFilipino;2018-01-07 01:45;0;0;"Metro Ayala mall fire flares out due to strong winds STRONG winds have fanned the fire inside Metro Ayala ... https:// goo.gl/CVczr9";;;;"949698380673904640";https://twitter.com/NofNewsFilipino/status/949698380673904640
