username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
vmsabal;2018-08-04 20:17;0;8;"Atm: Firetrucks and ambulance passing by Buhisan road behind DBTC.";;;;"1025717434878111747";https://twitter.com/vmsabal/status/1025717434878111747
RusselQuijada;2018-08-04 20:07;0;1;"There is a large fire here @brgy. buhisan cebu city";;@brgy;;"1025714753069408256";https://twitter.com/RusselQuijada/status/1025714753069408256
cebudailynews;2018-08-04 20:00;3;2;"JUST IN: Authorities are verifying a fire alarm in Barangay Buhisan , Cebu City. More on this shortly / @jnj_mendoza pic.twitter.com/GKUak50Oiw";;@jnj_mendoza;;"1025713173813284864";https://twitter.com/cebudailynews/status/1025713173813284864
renzodelro;2018-08-04 19:57;0;0;"ANOTHER FIRE ALARM FOR VERIFICATION VICINITY OF BUHISAN BARANGAY HALL, CEBU CITY";;;;"1025712392146182145";https://twitter.com/renzodelro/status/1025712392146182145
cebudailynews;2018-08-04 23:54;1;3;"Firefighters scramble to put out Buhisan fire , second fire in three hours in Cebu City http://cebudailynews.inquirer.net/187780/firefig hters-scramble-put-buhisan-fire-second-fire-three-hours-cebu-city?utm_term=Autofeed&utm_campaign=Echobox&utm_medium=Social&utm_source=Twitter#Echobox=1533396053 …";;;#Echobox;"1025772051125207041";https://twitter.com/cebudailynews/status/1025772051125207041
welovemabolo;2018-08-04 23:07;0;0;"Mabolo Disaster Team reacted to Camputhaw and Buhisan ’s Fire alarm today.. Location: Purok 3 Lower, Brgy Kamputhaw, Cebu City. Involved: Residential Fire Time Call Received: 1550H Aug. 04,2018 Time Under... https://www.facebook.com/16262792676997 44/posts/2132021563792176/ …";;;;"1025760126467301377";https://twitter.com/welovemabolo/status/1025760126467301377
sunstaronline;2018-08-04 22:53;4;3;"Fire razes 3 houses in Brgy. Buhisan , Cebu City | http://snstr.co/4QO pic.twitter.com/GKQbB29kCz";;;;"1025756708893675525";https://twitter.com/sunstaronline/status/1025756708893675525
manilainformer;2018-08-04 22:44;0;0;"Fire razes 3 houses in Brgy. Buhisan , Cebu City https://manilainformer.com/360491/fire-ra zes-3-houses-in-brgy-buhisan-cebu-city/ … pic.twitter.com/QSngwLsTKo";;;;"1025754280647696384";https://twitter.com/manilainformer/status/1025754280647696384
cebudailynews;2018-08-04 22:13;1;2;"NEWS UPDATE: The fire that hits Barangay Buhisan in Cebu City was declared fire out at 10:08 p.m. / @BenjieTalisic pic.twitter.com/tTxQTmIq4j";;@BenjieTalisic;;"1025746467586113537";https://twitter.com/cebudailynews/status/1025746467586113537
sunstaronline;2018-08-04 20:44;0;1;"[UPDATE] Fire alarm at at Barangay Buhisan , Cebu City was received at 7:55 p.m. It was raised to third alarm at 8:17 p.m. and placed under control at 8:26 p.m. | via Cebu City Fire Station https://twitter.com/sunstaronline/status/1025721962495000578 …";;;;"1025724191713021952";https://twitter.com/sunstaronline/status/1025724191713021952
cebudailynews;2018-08-04 20:36;0;4;"NEWS UPDATE: The fire that hits Barangay Buhisan in Cebu City was declared under control at 8:26 p.m. / @BenjieTalisic pic.twitter.com/TvomdpQzJ5";;@BenjieTalisic;;"1025722130892185600";https://twitter.com/cebudailynews/status/1025722130892185600
sunstaronline;2018-08-04 20:35;1;3;"Breaking: third fire alarm raised at Sitio Kasipag, Barangay Buhisan , Cebu City. | via SuperBalita Cebu pic.twitter.com/9naCLvLRuB";;;;"1025721962495000578";https://twitter.com/sunstaronline/status/1025721962495000578
cebudailynews;2018-08-04 20:23;2;2;"NEWS UPDATE: The fire that hits Barangay Buhisan in Cebu City was raised to third alarm / @BenjieTalisic pic.twitter.com/VjyvpaHqd3";;@BenjieTalisic;;"1025718894973972480";https://twitter.com/cebudailynews/status/1025718894973972480
RusselQuijada;2018-08-04 20:07;0;1;"There is a large fire here @brgy. buhisan cebu city";;@brgy;;"1025714753069408256";https://twitter.com/RusselQuijada/status/1025714753069408256
cebudailynews;2018-08-04 20:00;3;2;"JUST IN: Authorities are verifying a fire alarm in Barangay Buhisan , Cebu City. More on this shortly / @jnj_mendoza pic.twitter.com/GKUak50Oiw";;@jnj_mendoza;;"1025713173813284864";https://twitter.com/cebudailynews/status/1025713173813284864
renzodelro;2018-08-04 19:57;0;0;"ANOTHER FIRE ALARM FOR VERIFICATION VICINITY OF BUHISAN BARANGAY HALL, CEBU CITY";;;;"1025712392146182145";https://twitter.com/renzodelro/status/1025712392146182145
jaaahjuan;2018-08-04 21:19;0;0;"fire at kamputhaw and now there's a fire at buhisan.";;;;"1025732892398243841";https://twitter.com/jaaahjuan/status/1025732892398243841
henry_manatad;2018-08-04 20:55;0;0;"BREAKING NEWS Fire near barangay hall of Buhisan ...";;;;"1025726880761098243";https://twitter.com/henry_manatad/status/1025726880761098243
VladyMcry;2018-08-04 20:33;0;0;"I think there's a big fire here";;;;"1025721457064566784";https://twitter.com/VladyMcry/status/1025721457064566784
jeffnavaja;2018-08-04 20:26;0;2;"A lot of fires today. One was at kamputhaw, now at buhisan.";;;;"1025719651802595328";https://twitter.com/jeffnavaja/status/1025719651802595328
allanakcc;2018-08-04 20:08;0;1;"Fire at Buhisan";;;;"1025715117172961280";https://twitter.com/allanakcc/status/1025715117172961280
