username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Cebuinformer;2018-05-16 06:26;0;0;"5 houses razed, man hurt in Carreta fire https://cebuinformer.com/200360/5-houses-razed-man-hurt-in-carreta-fire/ … pic.twitter.com/8uXezrTpVg";;;;"996517087207215104";https://twitter.com/Cebuinformer/status/996517087207215104
renzodelro;2018-05-15 17:17;0;0;"FIRE ALARM FOR VERIFICATION ACROSS QUEENSLAND, PONCE 2, CARRETA , CEBU CITY";;;;"996318679393558528";https://twitter.com/renzodelro/status/996318679393558528
cebudailynews;2018-05-15 12:50;0;0;"NEWS UPDATE: The fire that hit a residential house in Barangay Carreta , Cebu City was declared fire out at 12:41 p.m. / Benjie Talisic pic.twitter.com/RvU8UwmwNl";;;;"996251547943108610";https://twitter.com/cebudailynews/status/996251547943108610
MCEBUALERTS;2018-05-16 07:34;0;1;"#FIREALERT #FIREDRILL #CEBUCITY FIRE DRILL ALERT: ROBINSONS CYBERGATE, BRGY. CAPITOL SITE, CEBU CITY -> FIRE DRILL IN PROGRESS";;;#FIREALERT #FIREDRILL #CEBUCITY;"996534391760289792";https://twitter.com/MCEBUALERTS/status/996534391760289792
cebudailynews;2018-05-15 22:35;1;1;"5 houses razed in Cebu fire http://cebudailynews.inquirer.net/175112/5-houses-razed-cebu-fire?utm_term=Autofeed&utm_campaign=Echobox&utm_medium=Social&utm_source=Twitter#link_time=1526394803 …";;;#link_time;"996398624824229891";https://twitter.com/cebudailynews/status/996398624824229891
renzodelro;2018-05-15 17:17;0;0;"FIRE ALARM FOR VERIFICATION ACROSS QUEENSLAND, PONCE 2, CARRETA, CEBU CITY";;;;"996318679393558528";https://twitter.com/renzodelro/status/996318679393558528
cebudailynews;2018-05-15 16:16;0;1;"5 houses razed in Cebu fire http://cebudailynews.inquirer.net/175112/5-houses-razed-cebu-fire?utm_term=Autofeed&utm_campaign=Echobox&utm_medium=Social&utm_source=Twitter#link_time=1526371078 …";;;#link_time;"996303178084831232";https://twitter.com/cebudailynews/status/996303178084831232
cebudailynews;2018-05-15 12:50;0;0;"NEWS UPDATE: The fire that hit a residential house in Barangay Carreta, Cebu City was declared fire out at 12:41 p.m. / Benjie Talisic pic.twitter.com/RvU8UwmwNl";;;;"996251547943108610";https://twitter.com/cebudailynews/status/996251547943108610
cebudailynews;2018-05-15 12:32;2;4;"JUST IN: The Cebu City fire Department responds to a working fire near A1Tinola, Barangay Mabolo, Cebu City. / @BenjieTalisic pic.twitter.com/v36blRudcJ";;@BenjieTalisic;;"996246833067261952";https://twitter.com/cebudailynews/status/996246833067261952
TheFreemanNews;2018-05-15 12:29;2;1;"LOOK: Fire that hit Mabolo, Cebu City placed under control at 12:21pm | via @camilleTFBanat /Photo by Aldo Banaynal pic.twitter.com/2c8mhxSkDs";;@camilleTFBanat;;"996246219843235840";https://twitter.com/TheFreemanNews/status/996246219843235840
renzodelro;2018-05-15 12:20;0;0;"FIRE ALARM NOW ON 2ND ALARM AT VICINITY OF MABOLO, CEBU CITY";;;;"996243956508844033";https://twitter.com/renzodelro/status/996243956508844033
ka_ernest1914;2018-12-26 07:57;1;9;"RT @Access_TRUTH : Some 200 homes destroyed in Cebu City fire ; INC house of worship opens doors to fire victims http://flip.it/e2TZfg";;@Access_TRUTH;;"1077715107369512960";https://twitter.com/ka_ernest1914/status/1077715107369512960
