username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
newsheadlinesng;2017-12-24 07:58;0;0;"Davao Mall fire worsens Philippines misery READ MORE https://goo.gl/vVvqc5";;;;"944718887576317952";https://twitter.com/newsheadlinesng/status/944718887576317952
vipernebulous;2017-12-24 07:58;0;0;"Many feared dead in Philippines mall fire http://ift.tt/2DDZuAZ At least 25 people are missing after the blaze in the southern city of Davao . December 23, 2017 at 01:43PM";;;;"944718828398895105";https://twitter.com/vipernebulous/status/944718828398895105
yen_verse;2017-12-24 07:54;0;2;"My heart aches for the fire victims of NCCC Mall Davao . My prayers are with you and your bereaved family.";;;;"944717879638970368";https://twitter.com/yen_verse/status/944717879638970368
kWiDnAnk;2017-12-24 07:54;0;1;"A VERY SAD DAY FOR DAVAO NO SURVIVOR FOR THE 28 CALLCENTER AGENTS TRAPPED IN NCCC MALL DAVAO FIRE . ... https://fb.me/3PUrfY0Vc";;;;"944717771132125184";https://twitter.com/kWiDnAnk/status/944717771132125184
allannawal;2017-12-24 07:47;2;0;"Edited: Officials declare zero survival in Davao mall fire , says Vice Mayor Paolo Duterte @inquirerdotnet @InqNational @inqmindanao pic.twitter.com/GSEmwE9Q5V";;@inquirerdotnet @InqNational @inqmindanao;;"944716230656647168";https://twitter.com/allannawal/status/944716230656647168
ZyiteGadgets;2017-12-24 07:45;0;0;"Nearly 40 feared dead in Philippines shopping mall blaze - Davao official says chances missing people survived are ‘zero’, after blaze trapped workers inside the four-storey building on Saturday Thirty-seven people were believed killed in a fire that ... http://ow.ly/pNHL50fSq1N";;;;"944715584956194816";https://twitter.com/ZyiteGadgets/status/944715584956194816
reejinkibum;2017-12-24 07:44;4;17;"My heart goes out to all those affected by the tropical storm Vinta and the NCCC mall fire in Davao City. It's hard to celebrate Christmas merrily in this situation. 2017 really isn't a good year. Let's all keep praying for the better.";;;;"944715462532669441";https://twitter.com/reejinkibum/status/944715462532669441
thewizardofosk;2017-12-24 07:42;0;0;"Really tragic day for the SSI leaders and agents who were trapped in the NCCC Mall Davao fire . I hope this will not affect the BPO industry in Davao .";;;;"944714823085858816";https://twitter.com/thewizardofosk/status/944714823085858816
AllanArpon7;2017-12-24 07:42;0;0;"Fire hits Davao City Mall http://bit.ly/2l4tw8y";;;;"944714746820943872";https://twitter.com/AllanArpon7/status/944714746820943872
DJLNR;2017-12-24 07:38;0;0;"Nearly 40 feared dead in Philippines shopping mall blaze http://ift.tt/2BVPX7C The Guardian World News Thirty-seven people were believed killed in a fire that engulfed a shopping mall in the southern Philippines city of Davao , the local vice mayor said on Sunday. A bureau …";;;;"944713846673068037";https://twitter.com/DJLNR/status/944713846673068037
ur4thplanet;2017-12-24 07:35;0;0;"Praying for everyone affected by the typhoon, flood and fire . Lord, have mercy. #Davao";;;#Davao;"944713003223564289";https://twitter.com/ur4thplanet/status/944713003223564289
IllegalDeporter;2017-12-24 07:34;0;0;"@RRD_ Davao Americans are praying for your country and those affected by the mall fire and floods in Davao ...";;@RRD_;;"944712887087587328";https://twitter.com/IllegalDeporter/status/944712887087587328
wanderlass07;2017-12-24 07:34;0;3;"My heart breaks for the family of the fire victims of NCCC Mall Davao . The Lord has plans for our lives, and I know He will comfort the bereaved.";;;;"944712762911002624";https://twitter.com/wanderlass07/status/944712762911002624
neilambion;2017-12-24 07:33;0;0;"Dozens feared dead in Davao City mall fire https://fb.me/80ZABlqEU";;;;"944712723279081473";https://twitter.com/neilambion/status/944712723279081473
fightonphils;2017-12-24 07:33;0;1;"Our prayers goes out to the storm victims of #VintaPH & fire victims in Davao . Let's help out in whatever way we can. May God continue to bless the Republic of the Philippines!";;;#VintaPH;"944712704702468097";https://twitter.com/fightonphils/status/944712704702468097
enzos_mom;2017-12-24 07:31;2;3;"Gloomy skies reflect the sadness and mourning in Davao City ... for the families who lost their homes in a storm and the 28 hardworking individuals we lost in a fire ... pic.twitter.com/jtkuhBjCxi";;;;"944712030824513536";https://twitter.com/enzos_mom/status/944712030824513536
cnnphilippines;2017-12-24 07:30;5;13;"Fire hits Davao City mall http://bit.ly/2l4tw8y";;;;"944711722069356544";https://twitter.com/cnnphilippines/status/944711722069356544
zookies;2017-12-24 07:25;0;0;"25 still missing after Davao City mall fire http://newsinfo.inquirer.net/954673/fire-da vao-city-nccc-mall-missing-blaze … via @inquirerdotnet";;@inquirerdotnet;;"944710616756998146";https://twitter.com/zookies/status/944710616756998146
YaBoiLawrenceA;2017-12-24 07:21;0;0;"Fire @NCCC DAVAO : http://youtu.be/i-q4XyTV0Nc?a via @YouTube";;@NCCC @YouTube;;"944709650913681408";https://twitter.com/YaBoiLawrenceA/status/944709650913681408
