username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
TanmayKhan14;2018-12-25 17:45;0;0;"Fire hits Duljo Fatima in Cebu on Christmas morning http://news.masjmzs.com//index/xnews/index.html?uuid=ffc6405a95702f02fbb9a999e1cad1ae&to_platfrom=old … pic.twitter.com/Oh70boOtMl";;;;"1077500580837318657";https://twitter.com/TanmayKhan14/status/1077500580837318657
TheFreemanNews;2018-12-25 16:30;3;7;"LATEST: Duljo Fatima fire in Cebu City destroys 417 houses, leaving 549 families homeless as of 3:38 p.m. today | via Rowena Capistrano pic.twitter.com/zIU2gWDQSs";;;;"1077481698269454336";https://twitter.com/TheFreemanNews/status/1077481698269454336
cebudailynews;2018-12-25 15:21;9;20;"LOOK: Aerial photos of the fire that struck Barangay Duljo-Fatima on Christmas dawn. At least 2,346 individuals were displaced. | Tonee Despojo pic.twitter.com/mjOajTu2SP";;;;"1077464341916508161";https://twitter.com/cebudailynews/status/1077464341916508161
Access_TRUTH;2018-12-25 14:55;4;14;"LOOK: A church opened its gates for the Duljo Fatima fire victims in Cebu City | via Aldo Banaynal https://www.facebook.com/story.php?stor y_fbid=1015184138673403&id=138133363045156 …";;;;"1077457715088248832";https://twitter.com/Access_TRUTH/status/1077457715088248832
kashieca21;2018-12-25 14:15;0;0;"200 houses razed in Christmas morning fire in Duljo Fatima in Cebu City https://cebudailynews.inquirer.net/209327/200-hou ses-razed-in-christmas-morning-fire-in-duljo-fatima-in-cebu-city#ixzz5aeCUUtZy …";;;#ixzz5aeCUUtZy;"1077447638142894080";https://twitter.com/kashieca21/status/1077447638142894080
cebudailynews;2018-12-25 14:03;0;4;"LOOK: Current situation of the Barangay Duljo-Fatima fire victims as they spend Christmas day at the barangay's covered court. As of press time, at least 2,346 individuals are reportedly displaced. | Tonee Despojo pic.twitter.com/oYfxPzfw2T";;;;"1077444823341195265";https://twitter.com/cebudailynews/status/1077444823341195265
renzodelro;2018-12-25 13:38;0;1;"CHRISTMAS FIRE ALARM FOR VERIFICATION SITIO ANAGAN, BRGY. BANILAD, CEBU CITY";;;;"1077438395205500928";https://twitter.com/renzodelro/status/1077438395205500928
AntmViet;2018-12-25 13:25;0;0;"Fire hits Duljo Fatima in Cebu on Christmas morning: http://youtu.be/shJbHpIVhmg?a qua @YouTube";;@YouTube;;"1077435041914019840";https://twitter.com/AntmViet/status/1077435041914019840
TheFreemanNews;2018-12-25 12:53;0;0;"LATEST: Boy, 12, killed in a fire that hit Duljo Fatima, Cebu City on Christmas Day | via Rowena Capistrano pic.twitter.com/ce0KKGUTH5";;;;"1077427211479601152";https://twitter.com/TheFreemanNews/status/1077427211479601152
Yanna07088183;2018-12-25 12:53;0;0;"200 houses razed in a Christmas morning fire in Duljo Fatima in Cebu City http://dcei.link.sharesdk.cn/hMXs6MEYaA pic.twitter.com/9XayNtOVDC";;;;"1077427088896872448";https://twitter.com/Yanna07088183/status/1077427088896872448
Cebuinformer;2018-12-25 12:32;0;0;"Probe begins into Duljo Fatima fire – http://INQUIRER.net https://cebuinformer.com/225313/probe-begins-into-duljo-fatima-fire-inquirer-net/ … pic.twitter.com/fRMzfi7BXO";;;;"1077421679008051200";https://twitter.com/Cebuinformer/status/1077421679008051200
CebuFlashReport;2018-12-25 12:17;0;0;"WANTED DONATIONS FOR FIRE VICTIMS OF DULJO FATIMA! READ BELOW https://www.facebook.com/75210525490079 1/posts/1853903604720945/ …";;;;"1077417926997827584";https://twitter.com/CebuFlashReport/status/1077417926997827584
Cebuinformer;2018-12-25 11:47;0;0;"Fire hits Duljo Fatima in Cebu City – http://INQUIRER.net https://cebuinformer.com/225310/fire-hits-duljo-fatima-in-cebu-city-inquirer-net/ … pic.twitter.com/yH1b2fkcSC";;;;"1077410361769410560";https://twitter.com/Cebuinformer/status/1077410361769410560
TheFreemanNews;2018-12-25 11:46;1;3;"LATEST: At least 158 families affected by Duljo Fatima fire in Cebu City as of 9:15 a.m., says DSWS head Lea Japson | Photo by Aldo Banaynal pic.twitter.com/ROKTQMpT6V";;;;"1077410233759150080";https://twitter.com/TheFreemanNews/status/1077410233759150080
TheFreemanNews;2018-12-25 10:24;3;4;"LOOK: A church opened its gates for the Duljo Fatima fire victims in Cebu City | via Aldo Banaynal pic.twitter.com/sG1r8FS0xg";;;;"1077389622622138368";https://twitter.com/TheFreemanNews/status/1077389622622138368
TheFreemanNews;2018-12-25 10:22;0;2;"LATEST: As of 8:30 a.m., 59 families left homeless on Christmas Day after a fire hit Duljo Fatima, Cebu City, initial DSWS report says pic.twitter.com/2VVEnx5Xy1";;;;"1077388997226164224";https://twitter.com/TheFreemanNews/status/1077388997226164224
manilabulletin;2018-12-25 10:19;1;0;"A charred body was found in one of the burnt houses in Barangay Duljo Fatima, Cebu City. Atleast 200 houses were destroyed in the fire that started early morning of December 25. | via @JuanCarloDeVel3 pic.twitter.com/bFivw7epKT";;@JuanCarloDeVel3;;"1077388243119697922";https://twitter.com/manilabulletin/status/1077388243119697922
AFruitPreserve;2018-12-25 09:22;0;0;"200 houses razed in Christmas morning fire in Duljo Fatima in Cebu City https://cebudailynews.inquirer.net/209327/200-hou ses-razed-in-christmas-morning-fire-in-duljo-fatima-in-cebu-city#ixzz5aeCUUtZy …";;;#ixzz5aeCUUtZy;"1077374030934671360";https://twitter.com/AFruitPreserve/status/1077374030934671360
TheFreemanNews;2018-12-25 08:40;0;2;"LOOK: Aftermath of the fire that razed an estimated 200 houses in Brgy Duljo Fatima, Cebu City dawn on Christmas Day. Investigation is ongoing to determine the cause. | via Aldo Banaynal pic.twitter.com/FLoV0TqsZD";;;;"1077363346154840064";https://twitter.com/TheFreemanNews/status/1077363346154840064
Cebuinformer;2018-12-25 08:27;0;0;"200 houses razed in Christmas morning fire in Duljo Fatima in Cebu City – http://INQUIRER.net https://cebuinformer.com/225297/200-hou ses-razed-in-christmas-morning-fire-in-duljo-fatima-in-cebu-city-inquirer-net/ … pic.twitter.com/HgQ5QPygL0";;;;"1077360155984084992";https://twitter.com/Cebuinformer/status/1077360155984084992
kptnrnl;2018-12-25 08:04;0;0;"200 houses razed in Christmas morning fire in Duljo Fatima in Cebu City https://cebudailynews.inquirer.net/209327/200-hou ses-razed-in-christmas-morning-fire-in-duljo-fatima-in-cebu-city#ixzz5aeCUUtZy …";;;#ixzz5aeCUUtZy;"1077354297787146241";https://twitter.com/kptnrnl/status/1077354297787146241
mikitchii;2018-12-26 07:18;0;0;"200 houses razed in a Christmas morning fire in Duljo Fatima in Cebu City https://cebudailynews.inquirer.net/209327/200-hou ses-razed-in-a-christmas-morning-fire-in-duljo-fatima-in-cebu-city …";;;;"1077705096841084929";https://twitter.com/mikitchii/status/1077705096841084929
BrgyTalamban;2018-12-26 01:54;0;1;"Starting today we will be accepting any donations(food, water, clothes, toiletries and others) at the Tanod office of Talamban Barangay Hall for the fire victims of Brgy. Duljo-Fatima . Let’s share our blessings to the needy in the season of giving. Thank you.";;;;"1077623614831280130";https://twitter.com/BrgyTalamban/status/1077623614831280130
Cebuinformer;2018-12-26 00:17;0;0;"200 houses razed in a Christmas morning fire in Duljo Fatima in Cebu City – http://INQUIRER.net https://cebuinformer.com/225348/200-hou ses-razed-in-a-christmas-morning-fire-in-duljo-fatima-in-cebu-city-inquirer-net/ … pic.twitter.com/BTBjxotMSF";;;;"1077599282843320320";https://twitter.com/Cebuinformer/status/1077599282843320320
martinejanee;2018-12-25 23:23;0;0;"I saw the fire at duljo-fatima a while ago at 6 in the morning. My heart is sad.";;;;"1077585573970247681";https://twitter.com/martinejanee/status/1077585573970247681
philredcross;2018-12-25 22:56;0;0;"The fire that reach general alarm blazed 406 residential units of 8 sitios, affecting 532 families composed of 2,346 individuals. Affected families are temporarily situated at the Duljo Fatima Sports Complex and San Nicolas Elementary School that serves as an evacuation center.";;;;"1077578936781959168";https://twitter.com/philredcross/status/1077578936781959168
philredcross;2018-12-25 22:56;1;7;"Philippine Red Cross staff and volunteers assisted affected families of a fire incident at Brgy. Duljo Fatima , Cebu City that transpired at 3:45 this early morning. pic.twitter.com/witIZlmt09";;;;"1077578933552304128";https://twitter.com/philredcross/status/1077578933552304128
teves_maricris;2018-12-25 20:53;0;0;"Fire hits Duljo Fatima in Cebu on Christmas morning http://news.masjmzs.com//index/xnews/index.html?uuid=2d90168946edd09cbc0a03c9ea10cfbd&to_platfrom=old … pic.twitter.com/KOhFmgwKe2";;;;"1077547772474122240";https://twitter.com/teves_maricris/status/1077547772474122240
inquirerdotnet;2018-12-25 18:11;3;7;"Via @cebudailynews Authorities confirmed that a 12-year-old boy died in a fire that razed Barangay Duljo Fatima on Christmas morning, December 25. https://cebudailynews.inquirer.net/209354/12-year-old-boy-dies-in-duljo-fatima-fire?utm_medium=Social&utm_source=Twitter#Echobox=1545728533 …";;@cebudailynews;#Echobox;"1077507042552803328";https://twitter.com/inquirerdotnet/status/1077507042552803328
TanmayKhan14;2018-12-25 17:45;0;0;"Fire hits Duljo Fatima in Cebu on Christmas morning http://news.masjmzs.com//index/xnews/index.html?uuid=ffc6405a95702f02fbb9a999e1cad1ae&to_platfrom=old … pic.twitter.com/Oh70boOtMl";;;;"1077500580837318657";https://twitter.com/TanmayKhan14/status/1077500580837318657
zeeehaha;2018-12-25 16:32;0;0;"My heart goes out to the fire victims of Duljo Fatima it really pains my heart because you all were so helpful and kind — until now i'm still touched by your goodness. you guys don't deserve that kind of tragedy on what was supposed to be a day of feast and joy. praying for you :(";;;;"1077482278190702592";https://twitter.com/zeeehaha/status/1077482278190702592
