username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
InqNational;2018-05-08 07:28;0;0;"Cebu fire kills 2 kids, leaves 80 families homeless http://newsinfo.inquirer.net/988317/cebu-fi re-kills-2-kids-leaves-80-families-homeless?utm_term=Autofeed&utm_campaign=Echobox&utm_medium=Social&utm_source=Twitter#link_time=1525732931 …";;;#link_time;"993633622551941120";https://twitter.com/InqNational/status/993633622551941120
NofNewsFilipino;2018-05-08 07:16;0;0;"Inferno engulfs Cebu residential area A massive fire erupted before dawn at a residential area here on Monday, engulfing at least 60 houses, authorities said. https://is.gd/lRy2is";;;;"993630755631677440";https://twitter.com/NofNewsFilipino/status/993630755631677440
FilipinosInAus;2018-05-08 05:18;0;0;"At least 100 homes Razed by Fire in Ermita Cebu City: http://youtu.be/VSQIrREgS0c?a via @YouTube";;@YouTube;;"993601023745773568";https://twitter.com/FilipinosInAus/status/993601023745773568
renzodelro;2018-05-07 22:52;0;0;"FIRE ALARM NOW FIRE OUT 22:30HRS BY BFP OPFM AT POBLACION 3, ACROSS GAISANO CAR CAR CITY, CEBU INVOLVING RESIDENTIAL";;;;"993503936828108800";https://twitter.com/renzodelro/status/993503936828108800
SeanH_725;2018-05-07 22:45;0;0;"At least 90 houses razed in Ermita fire - Cebu Daily News http://disq.us/t/322qiod";;;;"993502143792300035";https://twitter.com/SeanH_725/status/993502143792300035
cebudailynews;2018-05-07 21:35;1;1;"NEWS UPDATE: The fire in Barangay Poblacion III in Carcar City, Cebu was already raised to task force bravo / @nestleCDN pic.twitter.com/tKbkQM7z3D";;@nestleCDN;;"993484372857647104";https://twitter.com/cebudailynews/status/993484372857647104
renzodelro;2018-05-07 21:27;0;1;"FIRE ALARM ACROSS GAISANO CAR CAR CITY, CEBU";;;;"993482524516110336";https://twitter.com/renzodelro/status/993482524516110336
itsmerichvin;2018-05-07 20:41;0;0;"Cebu City fire earlier. Please pray for the soul of the 2 children who died and for those recovering. As well as for the 1000 people displaced due to this fire . https://www.facebook.com/itsmerichvin/v ideos/10212356807899417/ …";;;;"993470849607876610";https://twitter.com/itsmerichvin/status/993470849607876610
cebudailynews;2018-05-07 18:27;2;4;"LOOK: Fire victims temporarily stay at Ermita barangay gym after their houses were razed by the fire in Sitio Kawit, Barangay Ermita, Cebu City on Monday morning. / @BenjieTalisic pic.twitter.com/syEEViQQXk";;@BenjieTalisic;;"993437075079774208";https://twitter.com/cebudailynews/status/993437075079774208
vots2003;2018-05-07 18:12;0;0;"Two dead in Cebu fire http://a.msn.com/01/en-ph/AAwRG SL?ocid=sf …";;;;"993433429051142144";https://twitter.com/vots2003/status/993433429051142144
philredcross;2018-05-07 16:56;11;19;"Fire broke out at Sitio Kawit, Brgy. Ermita, Cebu City involving a residential area, and damaging some 90 houses this morning. Our Cebu chapter mobilized an ambulance and has coordinated with the DSWD. Distribution of hot meals to the affected 1,000 individuals is ongoing. pic.twitter.com/0clpeqdJjE";;;;"993414180723150848";https://twitter.com/philredcross/status/993414180723150848
Redfujiguy;2018-05-07 16:31;0;0;"Two dead in Cebu fire | News | GMA News Online http://www.gmanetwork.com/news/news/regi ons/652470/two-dead-in-cebu-fire/story/ …";;;;"993407999812120577";https://twitter.com/Redfujiguy/status/993407999812120577
TheUrbanNewz;2018-05-07 15:50;0;0;"Fire hits Ermita, Cebu - http://Inquirer.net http://news.google.com/news/url?sa=t&fd=R&ct2=en_ph&usg=AFQjCNFuXcC5adRQ-80JR0hgSS3MM8orTA&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52779892250578&ei=EgXwWriIBcK4hQGW-rvQDw&url=http%3A%2F%2Fcebudailynews.inquirer.net%2F173867%2Ffire-hits-ermita-cebu&utm_source=dlvr.it&utm_medium=twitter … pic.twitter.com/ydu8NS31Vt";;;;"993397521413160960";https://twitter.com/TheUrbanNewz/status/993397521413160960
TheUrbanNewz;2018-05-07 15:43;0;0;"At least 10 people hurt, 90 houses razed in Cebu City fire - http://Inquirer.net http://news.google.com/news/url?sa=t&fd=R&ct2=en_ph&usg=AFQjCNGdNcOafRavu2tPjQ4U9oULuUwy-w&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52779892250578&ei=ngPwWoyFG87uhAHZsLHoAw&url=https%3A%2F%2Fnewsinfo.inquirer.net%2F988094%2Fat-least-10-people-hurt-90-houses-razed-in-cebu-city-fire&utm_source=dlvr.it&utm_medium=twitter … pic.twitter.com/QDz5Ix9Fh2";;;;"993396005855899648";https://twitter.com/TheUrbanNewz/status/993396005855899648
cebudailynews;2018-05-07 15:22;1;0;"NEWS UPDATE: The fire that hit a residential area in Sitio Kawit, Barangay Ermita, Cebu City was declared fire out at 3:17 p.m. / @BenjieTalisic pic.twitter.com/NZc3VbyOKE";;@BenjieTalisic;;"993390640120541184";https://twitter.com/cebudailynews/status/993390640120541184
phnews24x7;2018-05-07 14:39;0;0;"Two dead in Cebu fire | http://bit.ly/2JY3C0M #PHNews pic.twitter.com/vPMMunn3BY";;;#PHNews;"993379735605399552";https://twitter.com/phnews24x7/status/993379735605399552
phnews24x7;2018-05-07 14:39;0;0;"Two dead in Cebu fire | http://bit.ly/2JY3C0M #PHNews pic.twitter.com/8IQmi5X1xo";;;#PHNews;"993379733994786818";https://twitter.com/phnews24x7/status/993379733994786818
F_GR01;2018-05-07 13:47;0;0;"Two dead in Cebu fire http://dlvr.it/QS0XsL pic.twitter.com/Ey92TTRDj3";;;;"993366812795453441";https://twitter.com/F_GR01/status/993366812795453441
jenkers_en;2018-05-07 13:35;0;1;"2 children die in #Cebu fire http://jenke.rs/Wj9o4M";;;#Cebu;"993363714832203776";https://twitter.com/jenkers_en/status/993363714832203776
cebudailynews;2018-05-07 13:18;1;6;"Fire hits Ermita, Cebu http://cebudailynews.inquirer.net/173867/fire-hi ts-ermita-cebu?utm_term=Autofeed&utm_campaign=Echobox&utm_medium=Social&utm_source=Twitter#link_time=1525669939 …";;;#link_time;"993359330291408896";https://twitter.com/cebudailynews/status/993359330291408896
skinnergj;2018-05-07 13:17;0;0;"At least 10 people hurt, 90 houses razed in Cebu City fire http://newsinfo.inquirer.net/988094/at-leas t-10-people-hurt-90-houses-razed-in-cebu-city-fire … via @skinnergj";;@skinnergj;;"993359238561853440";https://twitter.com/skinnergj/status/993359238561853440
christan_nash;2018-05-07 12:12;0;0;"At least 10 people hurt, 90 houses razed in Cebu City fire https://www.linkedin.com/pulse/least-10-people-hurt-90-houses-razed-cebu-city-fire-brioso-jr/?published=t …";;;;"993342769270734849";https://twitter.com/christan_nash/status/993342769270734849
gmanews;2018-05-07 11:53;4;10;"Two people died when fire broke out in a residential area in Barangay Ermita in Cebu City on Monday morning. http://bit.ly/2wlQMHQ";;;;"993337890351464448";https://twitter.com/gmanews/status/993337890351464448
