username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
cebudailynews;2019-02-05 21:58;2;6;"DSWS: Ermita fire destroys at least 131 houses, displaces 1,500 residents https:// cebudailynews.inquirer.net/215766/dsws-ermita-fire-destroys-at-least-131-houses-displaces-1500-residents?utm_term=Autofeed&utm_medium=Social&utm_source=Twitter#Echobox=1549371414 …";;;#Echobox;"1092784408686485504";https://twitter.com/cebudailynews/status/1092784408686485504
eryahosmena;2019-02-05 21:51;0;6;"Praying for the fire victims in brgy ermita , they already have a place in my heart. I used to get along with them last summer and swear theyre all no ordinary people, a positive influence. They don't deserve to lose everything they have worked hard for, esp for their family :((";;;;"1092782668167561216";https://twitter.com/eryahosmena/status/1092782668167561216
cebudailynews;2019-02-05 21:33;0;1;"Ermita fire victim on saving dogs: Family, Bicol and Yumi come first https://cebudailynews.inquirer.net/215728/ermita-fire-victim-on-saving-dogs-family-bicol-and-yumi-come-first?utm_term=Autofeed&utm_medium=Social&utm_source=Twitter#Echobox=1549371420 …";;;#Echobox;"1092778211660967937";https://twitter.com/cebudailynews/status/1092778211660967937
cebudailynews;2019-02-05 21:23;1;0;"BFP-7 chief: Two Ermita residents hurt in fire https://cebudailynews.inquirer.net/215746/bfp-7-chief-two-ermita-residents-hurt-in-fire?utm_term=Autofeed&utm_medium=Social&utm_source=Twitter#Echobox=1549371418 …";;;#Echobox;"1092775766121742337";https://twitter.com/cebudailynews/status/1092775766121742337
davidvincent12;2019-02-05 20:39;0;0;"@cebudailynews DSWS: Ermita fire destroys at least 131 houses, displaces 1,500 residents https:// cebudailynews.inquirer.net/215766/dsws-er mita-fire-destroys-at-least-131-houses-displaces-1500-residents … its about timecthe government and city council implemented a project of blocks of flats for all in cebu ,";;@cebudailynews;;"1092764673391427585";https://twitter.com/davidvincent12/status/1092764673391427585
Cebuinformer;2019-02-05 19:27;0;0;"More images from the Ermita fire in Cebu City – http://INQUIRER.net https://cebuinformer.com/230194/more-im ages-from-the-ermita-fire-in-cebu-city-inquirer-net/ … pic.twitter.com/wdsSyV2rnX";;;;"1092746488436965376";https://twitter.com/Cebuinformer/status/1092746488436965376
titatsbermejo;2019-02-05 18:28;0;1;"@YouScoop fire in sitio bato, ermita , cebu city pic.twitter.com/hUhnjFIjgf";;@YouScoop;;"1092731707839541248";https://twitter.com/titatsbermejo/status/1092731707839541248
cebudailynews;2019-02-05 18:20;4;4;"WATCH: A video of Tuesday’s fire in Sitio Bato, Barangay Ermita in Cebu City. | Tonee Despojo #CDNDigital pic.twitter.com/mF5TZm5MmF";;;#CDNDigital;"1092729773418135552";https://twitter.com/cebudailynews/status/1092729773418135552
cebudailynews;2019-02-05 17:41;0;2;"Why firefighters took two hours to put out Ermita fire https:// cebudailynews.inquirer.net/215693/why-firefighters-took-two-hours-to-put-out-ermita-fire?utm_term=Autofeed&utm_medium=Social&utm_source=Twitter#Echobox=1549357845 …";;;#Echobox;"1092719771962015745";https://twitter.com/cebudailynews/status/1092719771962015745
TheFreemanNews;2019-02-05 17:30;2;0;"UPDATE: Ermita fire in Cebu City destroys around 200 houses and injures five persons. It reportedly started at the 2nd floor of the house of a certain Ronron Sarmiento. As to what triggered the fire is still under probe. Damage pegged at P3M. | via Rowena Capistrano pic.twitter.com/ZH3IwGe6eT";;;;"1092717008603439104";https://twitter.com/TheFreemanNews/status/1092717008603439104
cebudailynews;2019-02-05 17:25;0;0;"More images from the Ermita fire in Cebu City https:// cebudailynews.inquirer.net/215677/more-images-from-the-ermita-fire-in-cebu-city?utm_term=Autofeed&utm_medium=Social&utm_source=Twitter#Echobox=1549356325 …";;;#Echobox;"1092715802267127808";https://twitter.com/cebudailynews/status/1092715802267127808
