username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
cebudailynews;2018-09-27 22:58;1;3;"Fire hits populated area in Hipodromo http://cebudailynews.inquirer.net/196039/fire-hi ts-populated-area-hipodromo?utm_term=Autofeed&utm_medium=Social&utm_source=Twitter#Echobox=1538048824 …";;;#Echobox;"1045326827827458050";https://twitter.com/cebudailynews/status/1045326827827458050
NofNewsFilipino;2018-09-27 22:47;0;0;"Fire breaks out in Hipodromo A FIRE broke out in Barangay Hipodromo , Cebu City, Thursday afternoon, September 27. The Bureau of Fire Protection raised the Hipodromo ... https://is.gd/ZRWjCp";;;;"1045323954674577408";https://twitter.com/NofNewsFilipino/status/1045323954674577408
aubwoe;2018-09-27 22:21;0;0;"JUST IN: The Hipodromo fire burned more than a hundred homes including the ancestral home of drug suspect Kerwin Espinosa and Barangay captain Ruperto Bacolod.......";;;;"1045317457471201286";https://twitter.com/aubwoe/status/1045317457471201286
cebudailynews;2018-09-27 21:40;0;3;"Fire destroys homes in Barangay Hipodromo , Cebu City http://cebudailynews.inquirer.net/196060/fire-de stroys-homes-barangay-hipodromo-cebu-city?utm_term=Autofeed&utm_medium=Social&utm_source=Twitter#Echobox=1538051874 …";;;#Echobox;"1045307312225824768";https://twitter.com/cebudailynews/status/1045307312225824768
soundspiderfool;2018-09-27 20:42;0;0;"Fire guts houses at Hipodromo as seen from a drone camera. (Video from PG Ycong) http://bit.ly/2zzgoQU";;;;"1045292504084623360";https://twitter.com/soundspiderfool/status/1045292504084623360
JamesGVmonte;2018-09-27 20:39;0;0;"Credits to the Owner. A part of Cahipa Hipodromo has been razed to the ground by fire just this afternoon of September 27, 2018. The picture was taken just a few meters from my home as… https://www.instagram.com/p/BoOtlGclElr/ ?utm_source=ig_twitter_share&igshid=1oye4zk2t9sez …";;;;"1045291902961168385";https://twitter.com/JamesGVmonte/status/1045291902961168385
tribunephl;2018-09-27 20:34;0;0;"Fire guts houses at Hipodromo as seen from a drone camera. (Video from PG Ycong) https://www.facebook.com/tribunephl/pos ts/2148050905406607 …";;;;"1045290672268431360";https://twitter.com/tribunephl/status/1045290672268431360
cebudailynews;2018-09-27 20:30;1;4;"Hipodromo fire now under control http://cebudailynews.inquirer.net/196047/hipodro mo-fire-now-control?utm_term=Autofeed&utm_medium=Social&utm_source=Twitter#Echobox=1538048826 …";;;#Echobox;"1045289552045363201";https://twitter.com/cebudailynews/status/1045289552045363201
ferliloo;2018-09-27 20:13;0;0;"Fire at Hipodromo this afternoon. Passed by this sight on the way to set up the #SSS kiosk in #MandaueCity pic.twitter.com/iSEb52HNZQ";;;#SSS #MandaueCity;"1045285261041532928";https://twitter.com/ferliloo/status/1045285261041532928
cebudailynews;2018-09-27 20:00;1;0;"LOOK: Scenes inside the Barangay Hipodromo Gym where the fire victims take shelter | via Benjie Talisic pic.twitter.com/QA64yAziFm";;;;"1045282053950820352";https://twitter.com/cebudailynews/status/1045282053950820352
cebudailynews;2018-09-27 19:57;1;1;"LOOK: Personnel of the Social Welfare Services aid the victims of the fire that razed at Barangay Hipodromo , Cebu City | Benjie Talisic pic.twitter.com/DE0GC3k59i";;;;"1045281263349727232";https://twitter.com/cebudailynews/status/1045281263349727232
philredcross;2018-09-27 19:05;7;31;"A fire incident broke out at Sitio Cahipa, Hipodromo , Cebu City around 3pm this afternoon. Two PRC-RCY volunteers who were close to the incident immediately responded as humanitarian duty calls, and catered a patient who experienced hyperventilation. pic.twitter.com/y8YAabs5tV";;;;"1045268287485927424";https://twitter.com/philredcross/status/1045268287485927424
joshuafighting;2018-09-27 18:47;0;0;"I just realized that I took a good candid shot of this enforcer during the fire outbreak in Hipodromo . #unsungheroes https://www.instagram.com/p/BoOgsHNhF01/ ?utm_source=ig_twitter_share&igshid=dcfi2t4al6xi …";;;#unsungheroes;"1045263562497814528";https://twitter.com/joshuafighting/status/1045263562497814528
cebudailynews;2018-09-27 18:28;6;17;"LOOK: An aerial view of the fire that occurred at Barangay Hipodromo , Cebu City | Photo contibuted by Erwin Lim pic.twitter.com/nYUYDTwybF";;;;"1045258905796759553";https://twitter.com/cebudailynews/status/1045258905796759553
dalegisrael;2018-09-27 18:21;0;0;"Look: a resident raises and bathe an image of the Santo Niño (Holy Child Jesus) as she prays for a miracle to stop the fire in Hipodromo , Cebu City @cnnphilippines pic.twitter.com/mWlxyM6ZI2";;@cnnphilippines;;"1045257154632896512";https://twitter.com/dalegisrael/status/1045257154632896512
dalegisrael;2018-09-27 18:09;0;1;"Hipodromo village chief Ruperto Bacolod said more than 70 houses were destroyed by the fire that hit the congested residential area here in Cebu City @cnnphilippines pic.twitter.com/l7luy2oEH8";;@cnnphilippines;;"1045254126412607488";https://twitter.com/dalegisrael/status/1045254126412607488
sunstarcebu;2018-09-27 17:56;5;11;"UPDATE. Close to P2-million worth of damages was estimated after a fire broke out in Barangay Hipodromo , Cebu City, Thursday afternoon, September 27. Photos by Ruel Rosello pic.twitter.com/pjY7LCIaby";;;;"1045250792410603521";https://twitter.com/sunstarcebu/status/1045250792410603521
cebudailynews;2018-09-27 17:46;1;4;"JUST IN: At least two million worth of properties were burned in a fire which hit Sitios Cahipa and Bakante in Barangay Hipodromo at 3 p.m. today (September 27) | Benjie Talisic pic.twitter.com/svTx2UDZRT";;;;"1045248382053183488";https://twitter.com/cebudailynews/status/1045248382053183488
JenesisSeno;2018-09-27 17:42;0;0;"September 27, 2018 RAPID Ambulance Service and RAPID Volunteers respinded to a Fire Alarm that was declared Task Force Alpha at Brgy. Hipodromo , Cebu City. RAPID Medics treated different patients.";;;;"1045247271489736704";https://twitter.com/JenesisSeno/status/1045247271489736704
thenicax;2018-09-27 17:41;0;0;"FIRE OUT NA. Thank you everyone for your thoughtfulness. I am safe, my family is safe. No reported casualties so far. — at Barangay Hipodromo https://www.facebook.com/1382952906/pos ts/10217880200301657/ …";;;;"1045247092145475584";https://twitter.com/thenicax/status/1045247092145475584
sunstarcebu;2018-09-27 17:18;1;3;"UPDATE: Fire in Hipodromo , Cebu City is under control as of 4:19 pm https://twitter.com/sunstarcebu/st atus/1045227913572900866 …";;;;"1045241248951353344";https://twitter.com/sunstarcebu/status/1045241248951353344
cebudailynews;2018-09-27 17:14;12;18;"JUST IN: The Hipodromo fire burned more than a hundred homes including the ancestral home of drug suspect Kerwin Espinosa and Barangay captain Ruperto Bacolod | Benjie Talisic pic.twitter.com/pkmEfQgtFG";;;;"1045240199062507520";https://twitter.com/cebudailynews/status/1045240199062507520
cebudailynews;2018-09-27 17:09;1;1;"JUST IN: Hipodromo Barangay Captain Ruperto Bacolod urged all fire victims to proceed to the Hipodromo Gym, which will serve as their evacuation site. | Morexette Erram pic.twitter.com/IxF998f0eA";;;;"1045238954700595200";https://twitter.com/cebudailynews/status/1045238954700595200
manilainformer;2018-09-27 16:50;0;0;"Fire breaks out in Hipodromo https://manilainformer.com/379975/fire-breaks-out-in-hipodromo/ … pic.twitter.com/ADtlciXRRQ";;;;"1045234164897853441";https://twitter.com/manilainformer/status/1045234164897853441
TheFreemanNews;2018-09-27 16:49;1;4;"IN PHOTOS: Fire in Sitio Cahipa, Brgy Hipodromo , Cebu City | via Joy Torrejos and Paul Rosaroso pic.twitter.com/GUrBwRy0iT";;;;"1045233851885281280";https://twitter.com/TheFreemanNews/status/1045233851885281280
cebudailynews;2018-09-27 16:36;3;5;"WATCH: A vehicle is consumed by the fire that recently hit Sitio Calipa, Brgy. Hipodromo , Cebu City. Authorities received the fire alarm at 3:10 p.m. and declared it was under control by 4:19 p.m. | Benjie Talisic pic.twitter.com/1SuKkl4CHk";;;;"1045230736003854336";https://twitter.com/cebudailynews/status/1045230736003854336
cebudailynews;2018-09-27 16:34;2;11;"LOOK: Scenes of the fire that hit Sitio Calipa, Brgy. Hipodromo , Cebu City this afternoon. Authorities declared that the fire is under control at 4:19 p.m. | Benjie Talisic, Photos by Junjie Mendoza pic.twitter.com/lJ77Zoayxn";;;;"1045230088457834497";https://twitter.com/cebudailynews/status/1045230088457834497
innaverse15;2018-09-27 16:33;0;0;"A woman fainted as fire continues to engulf houses in Sitio Cahipa in Barangay Hipodromo , Cebu City @cebudailynews pic.twitter.com/l9t9EjXmJm";;@cebudailynews;;"1045229908299935744";https://twitter.com/innaverse15/status/1045229908299935744
dalegisrael;2018-09-27 16:27;0;1;"Fire in Hipodromo , Cebu City https://www.pscp.tv/w/bnyL7jEzNDQw NTN8MU93eFdXVm9xd0F4UUO7tflJzQc8lDOo0NbCBcc7wYwWJiIXKyiDJwpjBd6i …";;;;"1045228406059630592";https://twitter.com/dalegisrael/status/1045228406059630592
sunstarcebu;2018-09-27 16:25;1;1;"Task force Alpha is raised for a fire in a residential area near Hipodromo , Cebu City. Firefighters are still trying to put out the fire . |via Arnorld Bustamante https://twitter.com/sunstarcebu/st atus/1045213348424380416 …";;;;"1045227913572900866";https://twitter.com/sunstarcebu/status/1045227913572900866
TheFreemanNews;2018-09-27 16:22;3;4;"#AsItHappens Fire razes a residential area in Brgy Hipodromo , Cebu City. Fire alarm was received at 3:10 p.m. and was raised to task force alpha 30 minutes after. More on this shortly. | via Rowena Capistrano | Photo by Joy Torrejos pic.twitter.com/fSxI1pbfA2";;;#AsItHappens;"1045227285584834560";https://twitter.com/TheFreemanNews/status/1045227285584834560
cebudailynews;2018-09-27 16:16;4;6;"LOOK: Firefighters continue to put out the fire in Sitio Calipa, Brgy. Hipodromo , Cebu City this afternoon. Task Force Alpha is raised as of 3:40 p.m. | Benjie Talisic pic.twitter.com/QJK1ftrQG3";;;;"1045225702537089024";https://twitter.com/cebudailynews/status/1045225702537089024
dalegisrael;2018-09-27 16:13;0;2;"Working fire in Hipodromo , Cebu City now declared Task Force Alpha @cnnphilippines pic.twitter.com/IactzFli7O";;@cnnphilippines;;"1045224867203665920";https://twitter.com/dalegisrael/status/1045224867203665920
cebudailynews;2018-09-27 16:01;1;4;"LOOK: Firefighters put out the fire that hits Brgy. Hipodromo , Cebu City this afternoon. | Benjie Talisic pic.twitter.com/dSjvb0cGgi";;;;"1045221893278642176";https://twitter.com/cebudailynews/status/1045221893278642176
dalegisrael;2018-09-27 15:57;1;1;"Fire in a residential area in Hipodromo , Cebu City now at Third Alarm @cnnphilippines pic.twitter.com/GFWYZODsdr";;@cnnphilippines;;"1045220855687471105";https://twitter.com/dalegisrael/status/1045220855687471105
cebudailynews;2018-09-27 15:53;11;25;"JUST IN: Fire that hits Brgy. Hipodromo , Cebu City is now raised to Task Force Alpha | Junjie Mendoza pic.twitter.com/ZymHfd1DiK";;;;"1045219786572017664";https://twitter.com/cebudailynews/status/1045219786572017664
renzodelro;2018-09-27 15:44;0;0;"FIRE ALARM IN SITIO KANIPA, HIPODROMO , CEBU CITY NOW RAISED TO TASK FORCE ALPHA 1540HRS. NEARBY CITY FIRE STATIONS RESPONDING";;;;"1045217675750912000";https://twitter.com/renzodelro/status/1045217675750912000
cebudailynews;2018-09-27 15:42;6;12;"LOOK: Fire hits Brgy. Hipodromo , Cebu City. | Junjie Mendoza pic.twitter.com/zGFUnP7XQ3";;;;"1045217121280487424";https://twitter.com/cebudailynews/status/1045217121280487424
justliberty;2018-09-27 15:41;11;9;"@sunstarcebu , fire in Hipodromo pic.twitter.com/vls3Z1PdcM";;@sunstarcebu;;"1045216903512219648";https://twitter.com/justliberty/status/1045216903512219648
luibalbuena;2018-09-27 15:37;1;0;"FIRE ALERT: Ongoing fire alarm in back of DSWD, Brgy. Hipodromo , Cebu City. -REPOSTED FROM A FRIEND pic.twitter.com/ldjQDRsGSV";;;;"1045215961190551552";https://twitter.com/luibalbuena/status/1045215961190551552
justliberty;2018-09-27 15:31;0;2;"Ongoing fire in Hipodromo , Cebu City pic.twitter.com/7MP7JFSlMK";;;;"1045214327811190784";https://twitter.com/justliberty/status/1045214327811190784
