username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
phildaily;2018-01-01 07:49;0;0;"Fire razes homes in Caniogan , Pasig";;;;"947615669859835907";https://twitter.com/phildaily/status/947615669859835907
phildaily;2018-01-01 07:49;0;0;"Fire razes homes in Caniogan , Pasig";;;;"947615625337294848";https://twitter.com/phildaily/status/947615625337294848
PHTopNews;2018-01-01 07:47;0;0;"Fire razes homes in Caniogan , Pasig";;;;"947615231144026112";https://twitter.com/PHTopNews/status/947615231144026112
PHTopNews;2018-01-01 07:47;0;0;"Fire razes homes in Caniogan , Pasig";;;;"947615218745643008";https://twitter.com/PHTopNews/status/947615218745643008
NofNewsFilipino;2018-01-01 04:49;0;0;"Fourth alarm fire put out in Caniogan , Pasig MANILA, Philippines Firefighters put out a ... https://goo.gl/1KAWLU";;;;"947570368650215424";https://twitter.com/NofNewsFilipino/status/947570368650215424
ViralNewsTogo;2018-01-01 04:08;0;0;"Fourth alarm fire put out in Caniogan , Pasig http://viralnewstogo.com/fourth-alarm-f ire-put-out-in-caniogan-pasig/ … pic.twitter.com/DY0j2bnw7w";;;;"947560178009784320";https://twitter.com/ViralNewsTogo/status/947560178009784320
PHTopNews;2018-01-01 02:22;0;0;"Fourth alarm fire put out in Caniogan , Pasig ";;;;"947533380983443458";https://twitter.com/PHTopNews/status/947533380983443458
EJMantillo;2018-01-01 02:09;0;0;"#TopNews Fourth alarm fire put out in Caniogan";;;#TopNews;"947530078153449472";https://twitter.com/EJMantillo/status/947530078153449472
phildaily;2018-01-01 02:02;0;0;"Fourth alarm fire put out in Caniogan , Pasig";;;;"947528481344286722";https://twitter.com/phildaily/status/947528481344286722
TheUrbanNewz;2018-01-01 02:01;0;0;"Fourth alarm fire put out in Caniogan , Pasig";;;;"947528085926117376";https://twitter.com/TheUrbanNewz/status/947528085926117376
luibans;2018-01-01 01:17;0;0;"58 years old Elmer Llañora dead in a fire at Caniogan Pasig City, he was sick and was left alone according to city fire marshall Arturo Marcos";;;#TulongMunaBagoBalita2018;"947517104479264768";https://twitter.com/luibans/status/947517104479264768
Visayanbizpost;2018-01-01 01:11;0;0;"Fourth alarm fire put out in Caniogan , Pasig - Rappler http://dlvr.it/Q8LCr1 pic.twitter.com/7ylg13Zo83";;;;"947515483095384064";https://twitter.com/Visayanbizpost/status/947515483095384064
Adipraze;2018-01-01 01:11;0;0;"Fourth alarm fire put out in Caniogan , Pasig http://dlvr.it/Q8LCbC pic.twitter.com/geVanJAZIn";;;;"947515480503283713";https://twitter.com/Adipraze/status/947515480503283713
ramonjocson;2018-01-01 01:07;14;12;"58 years old Elmer Llañora dead in a fire at Caniogan Pasig City, he was sick and was left alone according to city fire marshall Arturo Marcos";;@UNTVNewsRescue;#TulongMunaBagoBalita2018;"947514659183063040";https://twitter.com/ramonjocson/status/947514659183063040
TheUrbanNewz;2018-01-01 01:07;0;1;"Fourth alarm fire put out in Caniogan , Pasig - Rappler http://news.google.com/news/url?sa=t&fd=R&ct2=en_ph&usg=AFQjCNFe5EnoZp2FyiyPFFuzn2UcT46maw&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52779744583082&ei=AxlJWrjeEoalqgLWoLWICw&url=https%3A%2F%2Fwww.rappler.com%2Fnation%2F192649-fire-katarungan-street-caniogan-pasig&utm_source=dlvr.it&utm_medium=twitter … pic.twitter.com/DdN5S5jwpb";;;;"947514475262877696";https://twitter.com/TheUrbanNewz/status/947514475262877696
rapplerdotcom;2018-01-01 01:07;3;24;"Firefighters put out a fourth alarm fire in Katarungan Street in Caniogan , Pasig moving into the new year. https://www.rappler.com/nation/192649-fire-katarungan-street-caniogan-pasig?utm_source=twitter&utm_medium=social&utm_campaign=nation …";;;;"947514437572980736";https://twitter.com/rapplerdotcom/status/947514437572980736
cgnetwork;2018-01-01 00:53;0;0;"Fourth alarm fire put out in Caniogan , Pasig: MANILA, Philippines – Firefighters put out a… https://goo.gl/fb/EnkHSz";;;;"947511083144708100";https://twitter.com/cgnetwork/status/947511083144708100
luibans;2018-01-01 00:53;0;0;"12:07am fire under control, 12:15am declared fire out at Caniogan Pasig City ";;;#TulongMunaBagoBalita2018;"947511025636659201";https://twitter.com/luibans/status/947511025636659201
ramonjocson;2018-01-01 00:50;34;39;"12:07am fire under control, 12:15am declared fire out Caniogan Pasig City";;@UNTVNewsRescue;#TulongMunaBagoBalita2018;"947510250940260354";https://twitter.com/ramonjocson/status/947510250940260354
PasigInfo;2018-01-01 00:16;3;10;"Fire Update Status: As of 12:08am Fire Out According to Captain Arroyo of BFP Location:Katarungan St. Caniogan ... https://fb.me/44bs9TLXX";;;;"947501777804562432";https://twitter.com/PasigInfo/status/947501777804562432
TXTFIRE;2018-01-01 00:06;2;1;"As of 1/1/2018 12:06 #FireAlert ! ->katarungan caniogan pasig fourth alarm bagong bayan navotas fire out #NCR";;;#FireAlert #NCR;"947499316326707200";https://twitter.com/TXTFIRE/status/947499316326707200
ernie_manio;2017-12-31 23:41;5;14;"Fire razes houses in Bgy. Caniogan , Pasig City; reaches fourth alarm. pic.twitter.com/S7UNZzH3Ox";;;;"947492989353390080";https://twitter.com/ernie_manio/status/947492989353390080
KurtGalang;2017-12-31 23:40;0;0;"Fire alarm Brgy. Caniogan , Pasig City";;;;"947492737934270464";https://twitter.com/KurtGalang/status/947492737934270464
cyphergon;2017-12-31 23:26;0;0;"there's only minutes left for 2017. have fun but always take care guys. there's a fire in caniogan , pasig. if you're handling a firecracker/work, BE CAREFUL. (or not use it at all) have a safe and happy new year guys... pic.twitter.com/ZN2zNMhqBu";;;;"947489215683510274";https://twitter.com/cyphergon/status/947489215683510274
EliVillagonzalo;2017-12-31 23:13;0;0;"Big fire in Caniogan , Pasig!";;;;"947485848165081089";https://twitter.com/EliVillagonzalo/status/947485848165081089
cyphergon;2017-12-31 23:10;0;0;"there's a fire right now at caniogan , pasig. STAY SAFE THIS NEW YEARS EVE GUYS pic.twitter.com/Rr8XZx1SLJ";;;;"947485199767560192";https://twitter.com/cyphergon/status/947485199767560192
FEPAGEMS;2018-01-01 01:54;1;1;"FEPAG ALERT: Reported fire at guadalupe veijo makati fire under control #sunog #fire";;;#sunog #fire;"947526483710566401";https://twitter.com/FEPAGEMS/status/947526483710566401
burgmarce;2018-01-01 01:39;0;0;"Makati fire @cnnphilippines pic.twitter.com/MRd9q4TQbF";;@cnnphilippines;;"947522680076378112";https://twitter.com/burgmarce/status/947522680076378112
burgmarce;2018-01-01 01:39;0;0;"Guadalupe Viejo, Makati fire @cnnphilippines pic.twitter.com/peLQLZe1jd";;@cnnphilippines;;"947522490254835712";https://twitter.com/burgmarce/status/947522490254835712
FEPAGEMS;2018-01-01 01:38;1;0;"FEPAG ALERT: Reported fire now on 1st alarm to code 2 location guadalupe veijo makati #sunog #fire";;;#sunog #fire;"947522322889449474";https://twitter.com/FEPAGEMS/status/947522322889449474
FEPAGEMS;2018-01-01 01:35;2;0;"FEPAG ALERT: Reported fire now on 1st alarm location guadalupe veijo makati #sunog #fire";;;#sunog #fire;"947521662299226114";https://twitter.com/FEPAGEMS/status/947521662299226114
nickscorrera;2018-01-01 01:35;0;4;"There's a fire near our house, Coronado St. corner Progreso, Guadalupe Viejo Makati City. We need rescue!!!! @meralco @Mayora_Abby pic.twitter.com/SkkwpadmGp";;@meralco @Mayora_Abby;;"947521620796588032";https://twitter.com/nickscorrera/status/947521620796588032
FEPAGEMS;2018-01-01 01:31;2;0;"FEPAG ALERT:Reported fire for verification location guadalupe veijo makati #sunog #fire";;;#sunog #fire;"947520630718468098";https://twitter.com/FEPAGEMS/status/947520630718468098
manilabulletin;2017-12-31 23:49;0;1;"#NewYearUpdate : SPD records 1 indiscriminate firing in Las Pinas (cop), 5 cracker-related injuries in Taguig and 1 in Makati , and 1 cracker-related fire in Pasay as of 11 p.m. tonight. | via @MB_mrtnsdngdng";;@MB_mrtnsdngdng;#NewYearUpdate;"947494865566253056";https://twitter.com/manilabulletin/status/947494865566253056
MB_mrtnsdngdng;2017-12-31 23:46;0;0;"#NewYearUpdate : SPD records 1 indiscriminate firing in Las Pinas (cop), 5 cracker-related injuries in Taguig and 1 in Makati , and 1 cracker-related fire in Pasay as of 11 p.m. tonight. @manilabulletin";;@manilabulletin;#NewYearUpdate;"947494175951306754";https://twitter.com/MB_mrtnsdngdng/status/947494175951306754
fiestasaquiapo;2018-01-01 01:42;0;0;"Metro Manila contends with series of fires at start of new year - ABS-CBN News http://bit.ly/2C4XLDe";;;;"947523397709451264";https://twitter.com/fiestasaquiapo/status/947523397709451264
FEPAGEMS;2018-01-01 01:32;1;0;"FEPAG ALERT: reported fire at zaragosa delpan tondo manila fire Out #sunog #fire";;;#sunog #fire;"947520825082576897";https://twitter.com/FEPAGEMS/status/947520825082576897
DickGordonDG;2018-01-01 01:08;1;6;"Another fire incident at Varona Herbosa, Tondo, currently on third alarm at 12:28am. PRC NHQ Port Area deployed one firetruck and fire team, and one ambulance unit from PRC Manila Chapter.";;;;"947514723636985856";https://twitter.com/DickGordonDG/status/947514723636985856
FEPAGEMS;2018-01-01 01:05;1;0;"FEPAG ALERT: reported fire at zaragosa delpan tondo manila fire under control #sunog #fire";;;#sunog #fire;"947514093711253504";https://twitter.com/FEPAGEMS/status/947514093711253504
TXTFIRE;2018-01-01 01:02;6;3;"As of 1/1/2018 1:02 #FireAlert ! ->alvarado binondo: 2nd alarm brgy 17 delpan Tondo manila : fire under control Manila #NCR";;;#FireAlert #NCR;"947513190258061317";https://twitter.com/TXTFIRE/status/947513190258061317
ABSCBNNews;2018-01-01 00:55;13;44;"Metro Manila contends with series of fires at start of new year http://news.abs-cbn.com/news/01/01/18/metro-manila-contends-with-series-of-fires-at-start-of-new-year …";;;;"947511495604105216";https://twitter.com/ABSCBNNews/status/947511495604105216
cgnetwork;2018-01-01 00:53;0;0;"Fourth alarm fire put out in Caniogan, Pasig: MANILA , Philippines – Firefighters put out a… https://goo.gl/fb/EnkHSz";;;;"947511083144708100";https://twitter.com/cgnetwork/status/947511083144708100
AbainzaRalph;2018-01-01 00:52;0;7;"JUST IN: There are now at least 3 fires that broke out in Metro Manila , less than an hour after we entered 2018.";;;;"947510737726881792";https://twitter.com/AbainzaRalph/status/947510737726881792
