username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
chraysten;2018-01-15 07:49;0;0;"In Pasil * not apas";;;;"952689033892655104";https://twitter.com/chraysten/status/952689033892655104
pigoooleeeyt;2018-01-15 07:44;0;1;"The rain is Bad timing. Just when people from Pasil needed you. I felt sorry for the fire victims.";;;;"952687783000227840";https://twitter.com/pigoooleeeyt/status/952687783000227840
Oncadaa;2018-01-15 07:03;0;0;"Pasil is one of the most active when it comes to Sinulog";;;;"952677458465062913";https://twitter.com/Oncadaa/status/952677458465062913
ralfely;2018-01-15 06:31;0;0;"UPDATE. About 300 houses were destroyed in the fire.More details here: http://snstr.co/3kW Barangay Pasil , Cebu City fire now under control - http://www.sunstar.com.ph/cebu/local-new s/2018/01/14/pasil-fire-now-under-control-583851 …";;;;"952669635899371523";https://twitter.com/ralfely/status/952669635899371523
officialmakiii;2018-01-15 06:20;1;2;"Let's pray for the fast recovery of Baranggay Pasil , keep safe everyone :(";;;;"952666724389634049";https://twitter.com/officialmakiii/status/952666724389634049
Cebuinformer;2018-01-15 06:17;0;0;"At least 272 families homeless in Brgy Pasil : Raging inferno https://cebuinformer.com/187209/at-leas t-272-families-homeless-in-brgy-pasil-raging-inferno/ … pic.twitter.com/pUVIH9LiBM";;;;"952665902985687042";https://twitter.com/Cebuinformer/status/952665902985687042
ANDREAREIDXX;2018-01-15 05:48;0;0;"I pity the people living in Pasil";;;;"952658663344230401";https://twitter.com/ANDREAREIDXX/status/952658663344230401
NofNewsFilipino;2018-01-15 05:38;0;0;"Fire won't stop Sinulog dance CEBU CITY” The contingent from Barangay Pasil ... https://goo.gl/ouNgEg pic.twitter.com/WORBL5X0sg";;;;"952656268199583744";https://twitter.com/NofNewsFilipino/status/952656268199583744
Cebuinformer;2018-01-15 05:34;0;0;"Show goes on for Pasil dancers https://cebuinformer.com/187204/show-go es-on-for-pasil-dancers/ … pic.twitter.com/8xHs68dAAG";;;;"952655252431532033";https://twitter.com/Cebuinformer/status/952655252431532033
misstericebu;2018-01-15 01:05;0;0;"fire at Brgy. Pasil , Cebu City. https://fb.me/1CIihQ8sK";;;;"952587530863554560";https://twitter.com/misstericebu/status/952587530863554560
elrontylor;2018-01-15 00:57;163;16;"What’s goin’ on? Fire in Pasil , Cebu City, Landslide and Flood in Tacloban City mayon Volcano on Alert Level... https://fb.me/Nd7qvF5J";;;;"952585565257551872";https://twitter.com/elrontylor/status/952585565257551872
MayyyBarga;2018-01-15 00:36;0;2;"I pray for the fire victims in Pasil . Keep your faith strong and trust in the Lord. You will be okay, i promise.";;;;"952580075039281152";https://twitter.com/MayyyBarga/status/952580075039281152
renzodelro;2018-01-15 00:28;0;0;"DSWS FINAL UPDATE RE: Pasil Fire Alarm 01-014-18 634 Families 3,260 Individuals 283 Houses Affected";;;;"952578257177595910";https://twitter.com/renzodelro/status/952578257177595910
iam_tolitol;2018-01-14 23:48;0;0;"To people who are affected in the tragedy don't lose hope.. The tragedy you may face today will help develop the strength you need for tomorrow You cannot go back and change what has happened, but you can all start today and make a new tomorrow. Pit senyor";;;;"952568227309039616";https://twitter.com/iam_tolitol/status/952568227309039616
iam_tolitol;2018-01-14 23:43;0;0;"My heart is broken seeing some of My friends lost their homes , and the people in Pasil We cannot escape the tragedies that arise in our lives. Sometimes in life we don't recognize how strong we are until we are faced with tragedy. Bangon pasil";;;;"952566835840352256";https://twitter.com/iam_tolitol/status/952566835840352256
mjoyxoxo;2018-01-14 23:37;0;1;"Idk but pasil has a special place in my heart. ";;;;"952565224632041477";https://twitter.com/mjoyxoxo/status/952565224632041477
cjsullano;2018-01-14 23:29;0;2;"Pasil will always have a special place in my heart and seeing some parts of it being burned down by fire just breaks my heart";;;;"952563248879972353";https://twitter.com/cjsullano/status/952563248879972353
renzodelro;2018-01-14 23:25;0;1;"FIRE ALARM NOW FIRE OUT AT 2257HRS , SITIO RIVERSIDE PASIL , CEBU CITY";;;;"952562200148721665";https://twitter.com/renzodelro/status/952562200148721665
iamardrich;2018-01-14 23:14;0;0;"I pray for the families in Brgy. Pasil who lost their homes today. https://twitter.com/TheFreemanNews /status/952496283134013440 …";;;;"952559536962879488";https://twitter.com/iamardrich/status/952559536962879488
ChiggaLim;2018-01-14 23:12;0;1;"I’ll include Pasil in my prayers";;;;"952559157638385665";https://twitter.com/ChiggaLim/status/952559157638385665
gracidity;2018-01-14 23:12;0;1;"Please include all the victims and people of Pasil in your deepest prayers";;;;"952559026318946304";https://twitter.com/gracidity/status/952559026318946304
ShadRoi;2018-01-14 23:07;0;3;"Oh no.. fire at Ayala Metro Cebu last week.. today at Pasil https://twitter.com/cebudailynews/status/952557402280280065 …";;;;"952557774487011328";https://twitter.com/ShadRoi/status/952557774487011328
TheFreemanNews;2018-01-14 23:06;0;0;"LOOK: Pasil fire victims take temporary shelter at the barangay's covered court and elementary school | via Jaypee Lao pic.twitter.com/M7nzw4G7hs";;;;"952557602793144320";https://twitter.com/TheFreemanNews/status/952557602793144320
cebudailynews;2018-01-14 23:04;2;1;"UPDATE: BFP-7 declares fire out at 10:54 P.M. almost 11 hours after the fire alarm in Barangay Pasil . Four-hundred families were affected | via @BenjieTalisic Photo by Christian Maningo pic.twitter.com/b6AMi5QKNH";;@BenjieTalisic;;"952556917850648576";https://twitter.com/cebudailynews/status/952556917850648576
Larruelle;2018-01-14 23:03;0;0;"KEEP SAFE EVERYONE SPECIALLY TO PASIL";;;;"952556803916615685";https://twitter.com/Larruelle/status/952556803916615685
justalwaysSMYl;2018-01-14 22:53;0;0;"Talamban and Pasil .";;;;"952554340870320128";https://twitter.com/justalwaysSMYl/status/952554340870320128
