username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
athanobs;2018-09-28 08:58;0;1;"Glad nga okay lang jud amo family. Wala ra maabot sa amoa sa Riverside Hipodromo ang sunog . But hope maka recover ra ang mga nasunogan soon. https:// twitter.com/cebudailynews/ status/1045326827827458050 …";;;;"1045477883500683265";https://twitter.com/athanobs/status/1045477883500683265
Lance_Demonfox;2018-09-28 07:51;0;1;"Hipodromo gahapon lang ni na sunog .";;;;"1045460994208624640";https://twitter.com/Lance_Demonfox/status/1045460994208624640
Lance_Demonfox;2018-09-28 07:47;0;6;"Usa lang kapamilok. Na ugdaw ang ilang tanang hinaguan. #altercebu #kjms #sunog #donate #alterworld pic.twitter.com/slWks0scFR";;;#altercebu #kjms #sunog #donate #alterworld;"1045459989857415168";https://twitter.com/Lance_Demonfox/status/1045459989857415168
itsmaeeaica;2018-09-28 05:21;0;0;"Guba najud kaayo ang ozone layer tungod sa mga sunog ,-";;;;"1045423240028409856";https://twitter.com/itsmaeeaica/status/1045423240028409856
Banjoemer;2018-09-27 23:26;0;0;"Salamat kaayo sa tanan ni chat nako og nangumusta if na apektohan or okay ra ba mi sa sunog";;;;"1045333777801666560";https://twitter.com/Banjoemer/status/1045333777801666560
HannahMulawin;2018-09-27 22:51;10;0;"Jusko sunog #WYWSInTrouble KapusoBrigade @MulawinBatalion";;@MulawinBatalion;#WYWSInTrouble;"1045325143143137281";https://twitter.com/HannahMulawin/status/1045325143143137281
Rexo_villaester;2018-09-27 21:58;2;5;"Mura siyag world war 2 footage, pero sunog bitaw ni siya ganiha.. . pic.twitter.com/m2s80tqiKl";;;;"1045311811480743936";https://twitter.com/Rexo_villaester/status/1045311811480743936
feferlay;2018-09-27 21:54;0;1;"Wapa gani naka recovers nahitabos Naga nana say namatays sunog sa Hipodromo Naunsa naman ni Philippines ?";;;;"1045310762565033985";https://twitter.com/feferlay/status/1045310762565033985
jaycpameron;2018-09-27 21:42;0;0;"Asoha sa balay uy mura mag nahimong vapeshop sunog unta to";;;;"1045307772227616768";https://twitter.com/jaycpameron/status/1045307772227616768
nnarnds1097;2018-09-27 21:14;0;0;"Asa diay tu ang sunog dapit?";;;;"1045300587649064960";https://twitter.com/nnarnds1097/status/1045300587649064960
